"",BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:02,
1990-07,187076,
1990-08,213152,
1990-09,217007,
1990-10,260228,
1990-11,328301,
1990-12,225685,
1991-01,227249,
1991-02,208100,
1991-03,217969,
1991-04,204969,
1991-05,202855,
1991-06,290348,
1991-07,210796,
1991-08,234905,
1991-09,204264,
1991-10,230957,
1991-11,207870,
1991-12,305077,
1992-01,200989,
1992-02,239407,
1992-03,245985,
1992-04,253731,
1992-05,311389,
1992-06,221771,
1992-07,278751,
1992-08,220155,
1992-09,243572,
1992-10,239544,
1992-11,220224,
1992-12,218045,
1993-01,163975,
1993-02,197279,
1993-03,232238,
1993-04,197537,
1993-05,181660,
1993-06,258352,
1993-07,189304,
1993-08,200897,
1993-09,247257,
1993-10,227747,
1993-11,272252,
1993-12,261555,
1994-01,198738,
1994-02,214580,
1994-03,281653,
1994-04,283027,
1994-05,246585,
1994-06,301254,
1994-07,231617,
1994-08,233064,
1994-09,231305,
1994-10,300036,
1994-11,255011,
1994-12,277970,
1995-01,211971,
1995-02,237387,
1995-03,280812,
1995-04,258891,
1995-05,264431,
1995-06,260195,
1995-07,228247,
1995-08,250859,
1995-09,287847,
1995-10,277366,
1995-11,310892,
1995-12,262108,
1996-01,230075,
1996-02,274401,
1996-03,305988,
1996-04,252059,
1996-05,275836,
1996-06,281923,
1996-07,288316,
1996-08,256686,
1996-09,284170,
1996-10,332641,
1996-11,340141,
1996-12,280752,
1997-01,279131,
1997-02,307567,
1997-03,357137,
1997-04,342714,
1997-05,318484,
1997-06,353139,
1997-07,309040,
1997-08,268370,
1997-09,331305,
1997-10,390610,
1997-11,347111,
1997-12,352073,
1998-01,280222,
1998-02,321524,
1998-03,400529,
1998-04,354536,
1998-05,378979,
1998-06,350503,
1998-07,369090,
1998-08,327470,
1998-09,397184,
1998-10,389423,
1998-11,394147,
1998-12,394197,
1999-01,270596,
1999-02,291364,
1999-03,363795,
1999-04,301672,
1999-05,288968,
1999-06,373122,
1999-07,322879,
1999-08,270547,
1999-09,343856,
1999-10,354557,
1999-11,370028,
1999-12,352318,
2000-01,291924,
2000-02,329895,
2000-03,402715,
2000-04,322205,
2000-05,376329,
2000-06,383237,
2000-07,309455,
2000-08,347446,
2000-09,373109,
2000-10,408973,
2000-11,395761,
2000-12,348220,
2001-01,338027,
2001-02,371095,
2001-03,430136,
2001-04,348855,
2001-05,395697,
2001-06,557711,
2001-07,360653,
2001-08,601817,
2001-09,356322,
2001-10,409395,
2001-11,423054,
2001-12,309428,
2002-01,333511,
2002-02,372548,
2002-03,345993,
2002-04,357676,
2002-05,364184,
2002-06,416097,
2002-07,448853,
2002-08,377840,
2002-09,410130,
2002-10,446782,
2002-11,415054,
2002-12,331605,
2003-01,370739,
2003-02,356567,
2003-03,345704,
2003-04,365009,
2003-05,376951,
2003-06,371023,
2003-07,415059,
2003-08,345843,
2003-09,405434,
2003-10,375371,
2003-11,388001,
2003-12,377610,
2004-01,362935,
2004-02,370913,
2004-03,480069,
2004-04,403388,
2004-05,394499,
2004-06,564712,
2004-07,412249,
2004-08,378798,
2004-09,431327,
2004-10,461637,
2004-11,457290,
2004-12,449758,
2005-01,455632,
2005-02,437688,
2005-03,442893,
2005-04,422963,
2005-05,459973,
2005-06,586911,
2005-07,448319,
2005-08,426606,
2005-09,503974,
2005-10,508711,
2005-11,523377,
2005-12,507109,
2006-01,452786,
2006-02,515375,
2006-03,511172,
2006-04,469396,
2006-05,506786,
2006-06,513179,
2006-07,566230,
2006-08,493506,
2006-09,627361,
2006-10,722347,
2006-11,701178,
2006-12,573383,
2007-01,558455,
2007-02,605828,
2007-03,634670,
