"",BBFB1.Q.N.DE.F1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:11,
1991-01,341.219,
1991-04,484.123,
1991-07,369.923,
1991-10,469.537,
1992-01,420.932,
1992-04,458.041,
1992-07,404.135,
1992-10,449.201,
1993-01,363.955,
1993-04,351.369,
1993-07,394.004,
1993-10,309.596,
1994-01,267.286,
1994-04,321.122,
1994-07,295.371,
1994-10,251.123,
1995-01,349.954,
1995-04,437.156,
1995-07,385.825,
1995-10,337.447,
1996-01,254.245,
1996-04,234.385,
1996-07,267.932,
1996-10,261.656,
1997-01,338.131,
1997-04,221.870,
1997-07,244.844,
1997-10,299.195,
1998-01,188.526,
1998-04,195.726,
1998-07,214.090,
1998-10,228.566,
1999-01,133.759,
1999-04,261.499,
1999-07,299.418,
1999-10,270.116,
2000-01,261.398,
2000-04,291.471,
2000-07,251.558,
2000-10,298.107,
2001-01,263.221,
2001-04,193.536,
2001-07,184.903,
2001-10,140.950,
2002-01,189.890,
2002-04,220.425,
2002-07,286.273,
2002-10,280.790,
2003-01,276.276,
2003-04,268.547,
2003-07,335.524,
2003-10,268.620,
2004-01,506.643,
2004-04,499.177,
2004-07,479.062,
2004-10,495.115,
2005-01,376.963,
2005-04,449.329,
2005-07,567.222,
2005-10,578.903,
2006-01,416.375,
2006-04,295.466,
2006-07,145.309,
2006-10,134.891,
2007-01,170.048,
2007-04,163.689,
2007-07,206.147,
2007-10,115.264,
2008-01,199.933,
2008-04,149.971,
2008-07,149.578,
2008-10,216.123,
2009-01,250.529,
2009-04,256.150,
2009-07,301.888,
2009-10,331.019,
2010-01,380.884,
2010-04,413.295,
2010-07,430.890,
2010-10,458.554,
2011-01,-68.228,
2011-04,-146.102,
2011-07,-107.134,
2011-10,-152.806,
2012-01,-137.692,
2012-04,-129.851,
2012-07,-105.819,
2012-10,-90.371,
2013-01,300.609,
2013-04,266.999,
2013-07,287.164,
2013-10,313.826,
2014-01,243.599,Provisional value
2014-04,234.275,Provisional value
2014-07,240.884,Provisional value
