"",BBK01.CEHD0X,BBK01.CEHD0X_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:53,
1991-01,0.0,
1991-04,-0.2,
1991-07,-0.2,
1991-10,0.3,
1992-01,0.1,
1992-04,0.1,
1992-07,0.1,
1992-10,0.1,
1993-01,0.3,
1993-04,0.3,
1993-07,0.2,
1993-10,0.0,
1994-01,0.2,
1994-04,0.5,
1994-07,0.3,
1994-10,-0.1,
1995-01,-0.2,
1995-04,-0.1,
1995-07,0.5,
1995-10,-0.3,
1996-01,0.2,
1996-04,0.3,
1996-07,0.2,
1996-10,0.7,
1997-01,-0.9,
1997-04,0.8,
1997-07,1.4,
1997-10,-0.3,
1998-01,-0.5,
1998-04,1.9,
1998-07,1.1,
1998-10,-0.4,
1999-01,-0.7,
1999-04,3.1,
1999-07,2.0,
1999-10,-1.5,
2000-01,6.6,
2000-04,-0.4,
2000-07,-1.7,
2000-10,2.7,
2001-01,4.4,
2001-04,-1.3,
2001-07,6.0,
2001-10,-2.6,
2002-01,-2.2,
2002-04,6.5,
2002-07,1.0,
2002-10,-4.0,
2003-01,7.1,
2003-04,5.2,
2003-07,0.0,
2003-10,-8.6,
2004-01,6.9,
2004-04,-3.1,
2004-07,0.8,
2004-10,-12.1,
2005-01,16.4,
2005-04,-0.4,
2005-07,7.5,
2005-10,-13.4,
2006-01,13.5,
2006-04,6.1,
2006-07,-5.3,
2006-10,-6.1,
2007-01,11.9,
2007-04,3.0,
2007-07,11.9,
2007-10,-21.7,
2008-01,22.0,
2008-04,5.5,
2008-07,-9.2,
2008-10,-5.9,
2009-01,16.6,
2009-04,-6.4,
2009-07,-10.2,
2009-10,-11.4,
2010-01,1.7,
2010-04,16.3,
2010-07,-10.0,
2010-10,-8.9,
2011-01,14.5,
2011-04,1.7,
2011-07,12.8,
2011-10,-10.7,
2012-01,7.2,
2012-04,0.6,
2012-07,-3.2,
2012-10,-8.8,
2013-01,12.7,
2013-04,9.1,
2013-07,-5.9,
2013-10,-3.0,
2014-01,4.8,
