"",BBK01.QU8698,BBK01.QU8698_FLAGS
"",Foreign branches: Short-term liabilities to non-residents / Portugal / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:45:59,
1985-12,-,Nothing exists
1986-01,0.020,
1986-02,0.012,
1986-03,0.019,
1986-04,0.021,
1986-05,0.022,
1986-06,.,No value available
1986-07,.,No value available
1986-08,.,No value available
1986-09,0.013,
1986-10,0.027,
1986-11,0.024,
1986-12,0.019,
1987-01,0.025,
1987-02,0.031,
1987-03,0.020,
1987-04,0.029,
1987-05,0.013,
1987-06,0.033,
1987-07,0.058,
1987-08,0.038,
1987-09,0.039,
1987-10,0.030,
1987-11,0.064,
1987-12,0.044,
1988-01,0.073,
1988-02,0.067,
1988-03,0.055,
1988-04,0.051,
1988-05,0.060,
1988-06,0.048,
1988-07,0.035,
1988-08,0.138,
1988-09,0.196,
1988-10,0.170,
1988-11,0.188,
1988-12,0.171,
1989-01,0.193,
1989-02,0.243,
1989-03,0.258,
1989-04,0.178,
1989-05,0.235,
1989-06,0.232,
1989-07,0.230,
1989-08,0.273,
1989-09,0.292,
1989-10,0.232,
1989-11,0.228,
1989-12,0.211,
1990-01,0.263,
1990-02,0.267,
1990-03,0.225,
1990-04,0.239,
1990-05,0.254,
1990-06,0.248,
1990-07,0.269,
1990-08,-,Nothing exists
1990-09,0.328,
1990-10,0.291,
1990-11,0.301,
1990-12,0.298,
1991-01,0.213,
1991-02,0.190,
1991-03,0.242,
1991-04,0.262,
1991-05,0.256,
1991-06,.,No value available
1991-07,.,No value available
1991-08,.,No value available
1991-09,.,No value available
1991-10,.,No value available
1991-11,.,No value available
1991-12,0.298,
1992-01,0.321,
1992-02,0.375,
1992-03,0.448,
1992-04,0.461,
1992-05,0.561,
1992-06,0.701,
1992-07,0.687,
1992-08,0.663,
1992-09,0.645,
1992-10,0.479,
1992-11,0.490,
1992-12,0.409,
1993-01,0.558,
1993-02,0.533,
1993-03,.,No value available
1993-04,.,No value available
1993-05,.,No value available
1993-06,.,No value available
1993-07,.,No value available
1993-08,.,No value available
1993-09,.,No value available
1993-10,.,No value available
1993-11,.,No value available
1993-12,0.630,
1994-01,0.690,
1994-02,0.796,
1994-03,.,No value available
1994-04,0.821,
1994-05,0.842,
1994-06,.,No value available
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,0.874,
1995-01,1.074,
1995-02,1.311,
1995-03,1.239,
1995-04,1.143,
1995-05,1.219,
1995-06,.,No value available
1995-07,.,No value available
1995-08,.,No value available
1995-09,.,No value available
1995-10,.,No value available
1995-11,.,No value available
1995-12,1.349,
1996-01,1.709,
1996-02,1.230,
1996-03,1.451,
1996-04,1.382,
1996-05,1.579,
1996-06,1.935,
1996-07,1.683,
1996-08,1.361,
1996-09,1.456,
1996-10,1.746,
1996-11,1.733,
1996-12,1.144,
1997-01,1.275,
1997-02,1.552,
1997-03,1.679,
1997-04,1.186,
1997-05,0.876,
1997-06,0.878,
1997-07,0.542,
1997-08,0.559,
1997-09,0.722,
1997-10,0.853,
1997-11,0.853,
1997-12,0.952,
1998-01,0.774,
1998-02,1.045,
1998-03,0.767,
1998-04,0.644,
1998-05,0.622,
1998-06,0.569,
1998-07,0.542,
1998-08,0.706,
1998-09,0.552,
1998-10,0.762,
1998-11,0.602,
1998-12,0.524,
1999-01,0.409,
1999-02,0.385,
1999-03,0.531,
1999-04,0.367,
1999-05,0.476,
1999-06,0.634,
1999-07,0.384,
1999-08,0.542,
1999-09,0.357,
1999-10,0.562,
1999-11,0.726,
1999-12,1.233,
2000-01,0.499,
