"",BBK01.OEAF22Q,BBK01.OEAF22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:29,
2002-01,2.056,
2002-04,2.017,
2002-07,1.978,
2002-10,1.935,
2003-01,1.877,
2003-04,1.867,
2003-07,1.832,
2003-10,1.801,
2004-01,1.690,
2004-04,1.261,
2004-07,1.236,
2004-10,1.185,
2005-01,1.150,
2005-04,1.132,
2005-07,1.101,
2005-10,0.999,
2006-01,0.981,
2006-04,0.985,
2006-07,0.964,
2006-10,0.924,
2007-01,0.929,
2007-04,0.912,
2007-07,0.883,
2007-10,0.848,
2008-01,0.821,
2008-04,0.799,
2008-07,0.794,
2008-10,0.769,
2009-01,0.767,
2009-04,0.763,
2009-07,0.770,
2009-10,0.767,
2010-01,0.751,
2010-04,0.789,
2010-07,0.729,
2010-10,0.746,
2011-01,0.762,
2011-04,0.770,
2011-07,0.772,
2011-10,0.765,
2012-01,0.790,
2012-04,0.802,
2012-07,0.810,
2012-10,0.823,
2013-01,0.844,
2013-04,0.830,
2013-07,0.816,
2013-10,0.811,
2014-01,0.801,
2014-04,0.807,
2014-07,0.808,
