"",BBK01.OEAA50G,BBK01.OEAA50G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:40,
2002-01,6.575,
2002-04,6.378,
2002-07,7.771,
2002-10,5.110,
2003-01,6.011,
2003-04,7.360,
2003-07,4.308,
2003-10,5.381,
2004-01,5.214,
2004-04,4.887,
2004-07,4.271,
2004-10,5.534,
2005-01,4.214,
2005-04,4.027,
2005-07,4.671,
2005-10,4.312,
2006-01,5.377,
2006-04,5.775,
2006-07,6.967,
2006-10,7.181,
2007-01,8.724,
2007-04,12.524,
2007-07,14.741,
2007-10,19.809,
2008-01,17.869,
2008-04,13.503,
2008-07,14.132,
2008-10,16.284,
2009-01,16.139,
2009-04,17.048,
2009-07,20.326,
2009-10,18.884,
2010-01,20.817,
2010-04,22.606,
2010-07,23.233,
2010-10,20.593,
2011-01,21.317,
2011-04,19.204,
2011-07,18.230,
2011-10,15.951,
2012-01,16.710,
2012-04,16.662,
2012-07,17.963,
2012-10,16.392,
2013-01,18.363,
2013-04,14.938,
2013-07,15.726,
2013-10,14.652,
2014-01,16.535,
2014-04,16.052,
2014-07,14.953,
