"",BBK01.OEBI03U,BBK01.OEBI03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:29,
2002-01,1.300,
2002-04,1.235,
2002-07,1.228,
2002-10,1.151,
2003-01,1.101,
2003-04,1.060,
2003-07,1.087,
2003-10,1.069,
2004-01,1.031,
2004-04,0.845,
2004-07,0.903,
2004-10,0.830,
2005-01,0.851,
2005-04,0.854,
2005-07,0.912,
2005-10,0.884,
2006-01,0.962,
2006-04,1.004,
2006-07,1.124,
2006-10,1.330,
2007-01,1.484,
2007-04,1.574,
2007-07,1.774,
2007-10,1.928,
2008-01,1.958,
2008-04,2.140,
2008-07,2.286,
2008-10,1.969,
2009-01,1.377,
2009-04,1.338,
2009-07,1.095,
2009-10,0.909,
2010-01,0.872,
2010-04,0.863,
2010-07,0.770,
2010-10,0.770,
2011-01,0.880,
2011-04,0.939,
2011-07,0.975,
2011-10,1.438,
2012-01,1.749,
2012-04,1.829,
2012-07,1.761,
2012-10,1.636,
2013-01,1.493,
2013-04,1.526,
2013-07,1.479,
2013-10,1.332,
2014-01,1.560,
2014-04,1.613,
2014-07,1.307,
