"",BBK01.OEAE09O,BBK01.OEAE09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:51,
2002-01,2.176,
2002-04,2.559,
2002-07,2.535,
2002-10,2.544,
2003-01,2.347,
2003-04,2.094,
2003-07,1.922,
2003-10,2.106,
2004-01,2.097,
2004-04,2.149,
2004-07,2.110,
2004-10,2.019,
2005-01,2.138,
2005-04,2.169,
2005-07,2.150,
2005-10,2.037,
2006-01,2.053,
2006-04,2.079,
2006-07,2.080,
2006-10,2.150,
2007-01,2.095,
2007-04,2.168,
2007-07,2.205,
2007-10,2.014,
2008-01,1.957,
2008-04,2.030,
2008-07,2.109,
2008-10,2.030,
2009-01,1.804,
2009-04,1.698,
2009-07,1.730,
2009-10,1.637,
2010-01,1.586,
2010-04,1.542,
2010-07,1.911,
2010-10,1.929,
2011-01,1.943,
2011-04,1.929,
2011-07,1.956,
2011-10,2.009,
2012-01,1.997,
2012-04,1.696,
2012-07,1.704,
2012-10,1.726,
2013-01,1.701,
2013-04,1.710,
2013-07,1.720,
2013-10,1.732,
2014-01,1.729,
2014-04,1.718,
2014-07,1.721,
