"",BBK01.OEHM01H,BBK01.OEHM01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:23,
2002-01,3.508,
2002-04,3.391,
2002-07,3.487,
2002-10,3.699,
2003-01,3.099,
2003-04,3.099,
2003-07,3.166,
2003-10,3.497,
2004-01,3.030,
2004-04,3.128,
2004-07,3.294,
2004-10,3.717,
2005-01,3.264,
2005-04,3.375,
2005-07,3.511,
2005-10,3.864,
2006-01,3.502,
2006-04,3.850,
2006-07,4.148,
2006-10,4.580,
2007-01,4.183,
2007-04,4.640,
2007-07,4.842,
2007-10,5.363,
2008-01,4.754,
2008-04,4.985,
2008-07,5.293,
2008-10,5.991,
2009-01,5.439,
2009-04,5.491,
2009-07,5.440,
2009-10,5.728,
2010-01,5.142,
2010-04,5.247,
2010-07,5.301,
2010-10,5.705,
2011-01,4.850,
2011-04,4.906,
2011-07,5.058,
2011-10,5.906,
2012-01,5.300,
2012-04,5.563,
2012-07,6.013,
2012-10,6.181,
2013-01,5.685,
2013-04,5.719,
2013-07,6.248,
2013-10,6.463,
2014-01,5.529,
2014-04,5.775,
2014-07,6.111,
