"",BBK01.OECB12S,BBK01.OECB12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:54,
2002-01,0.980,
2002-04,0.937,
2002-07,0.897,
2002-10,0.828,
2003-01,0.752,
2003-04,0.713,
2003-07,0.678,
2003-10,0.663,
2004-01,0.645,
2004-04,0.610,
2004-07,0.576,
2004-10,0.504,
2005-01,0.547,
2005-04,0.522,
2005-07,0.500,
2005-10,0.467,
2006-01,0.436,
2006-04,0.453,
2006-07,0.442,
2006-10,0.420,
2007-01,0.409,
2007-04,0.386,
2007-07,0.350,
2007-10,0.354,
2008-01,0.328,
2008-04,0.325,
2008-07,0.307,
2008-10,0.342,
2009-01,0.334,
2009-04,0.355,
2009-07,0.341,
2009-10,0.482,
2010-01,0.479,
2010-04,0.462,
2010-07,0.420,
2010-10,0.427,
2011-01,0.406,
2011-04,0.393,
2011-07,0.397,
2011-10,0.420,
2012-01,0.430,
2012-04,0.426,
2012-07,0.418,
2012-10,0.405,
2013-01,0.406,
2013-04,0.404,
2013-07,0.395,
2013-10,0.377,
2014-01,0.341,
2014-04,0.339,
2014-07,0.330,
