"",BBK01.OEAE15O,BBK01.OEAE15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:54,
2002-01,0.690,
2002-04,0.652,
2002-07,0.693,
2002-10,0.687,
2003-01,0.607,
2003-04,0.586,
2003-07,0.569,
2003-10,0.583,
2004-01,0.527,
2004-04,0.515,
2004-07,0.506,
2004-10,0.496,
2005-01,0.495,
2005-04,0.476,
2005-07,0.470,
2005-10,0.469,
2006-01,0.461,
2006-04,0.487,
2006-07,0.462,
2006-10,0.462,
2007-01,0.468,
2007-04,0.482,
2007-07,0.500,
2007-10,0.502,
2008-01,0.522,
2008-04,0.522,
2008-07,0.521,
2008-10,0.597,
2009-01,0.535,
2009-04,0.494,
2009-07,0.470,
2009-10,0.444,
2010-01,1.558,
2010-04,0.793,
2010-07,0.656,
2010-10,0.535,
2011-01,0.531,
2011-04,0.544,
2011-07,0.565,
2011-10,0.568,
2012-01,0.595,
2012-04,0.606,
2012-07,0.598,
2012-10,0.565,
2013-01,0.561,
2013-04,0.588,
2013-07,0.657,
2013-10,0.656,
2014-01,0.681,
2014-04,0.707,
2014-07,0.568,
