"",BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:21,
1991-01,68.672,
1991-04,139.222,
1991-07,302.682,
1991-10,428.618,
1992-01,290.407,
1992-04,20.678,
1992-07,56.324,
1992-10,195.164,
1993-01,496.775,
1993-04,197.347,
1993-07,225.686,
1993-10,60.074,
1994-01,-72.983,
1994-04,260.059,
1994-07,-11.423,
1994-10,42.790,
1995-01,16.683,
1995-04,127.581,
1995-07,266.928,
1995-10,174.724,
1996-01,-383.572,
1996-04,267.158,
1996-07,485.111,
1996-10,612.364,
1997-01,-181.271,
1997-04,282.349,
1997-07,-401.445,
1997-10,103.414,
1998-01,1029.518,
1998-04,-1570.604,
1998-07,470.499,
1998-10,2004.541,
1999-01,1074.818,
1999-04,175.758,
1999-07,-479.885,
1999-10,29221.012,
2000-01,704.795,
2000-04,1050.658,
2000-07,1926.353,
2000-10,2952.100,
2001-01,3245.954,
2001-04,1883.819,
2001-07,801.317,
2001-10,2005.417,
2002-01,-27.446,
2002-04,-1358.417,
2002-07,1986.306,
2002-10,2063.570,
2003-01,8778.525,
2003-04,-264.279,
2003-07,716.144,
2003-10,2334.572,
2004-01,1698.208,
2004-04,3506.633,
2004-07,-419.752,
2004-10,-200.515,
2005-01,2507.191,
2005-04,2557.835,
2005-07,1587.496,
2005-10,-20610.177,
2006-01,322.290,
2006-04,-68.876,
2006-07,1831.685,
2006-10,2831.368,
2007-01,1576.942,
2007-04,1202.207,
2007-07,2106.318,
2007-10,857.523,
2008-01,-1478.732,
2008-04,361.885,
2008-07,990.534,
2008-10,-3059.070,
2009-01,102.728,
2009-04,472.714,
2009-07,-1324.673,
2009-10,1157.378,
2010-01,354.562,
2010-04,138.900,
2010-07,1240.432,
2010-10,926.646,
2011-01,-3135.370,
2011-04,182.348,
2011-07,1294.413,
2011-10,-519.120,
2012-01,1659.067,
2012-04,1575.939,
2012-07,872.953,
2012-10,190.496,
2013-01,-5414.321,
2013-04,976.623,
2013-07,-243.561,
2013-10,4.478,
2014-01,1871.267,Provisional value
2014-04,410.846,Provisional value
2014-07,1485.287,Provisional value
2014-10,-1866.187,Provisional value
