"",BBK01.OEBI08S,BBK01.OEBI08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:04,
2002-01,0.699,
2002-04,0.589,
2002-07,0.574,
2002-10,0.608,
2003-01,0.605,
2003-04,0.596,
2003-07,0.637,
2003-10,0.607,
2004-01,0.591,
2004-04,0.578,
2004-07,0.602,
2004-10,0.629,
2005-01,1.586,
2005-04,1.585,
2005-07,1.600,
2005-10,1.619,
2006-01,1.641,
2006-04,1.625,
2006-07,1.546,
2006-10,1.542,
2007-01,1.580,
2007-04,1.572,
2007-07,1.553,
2007-10,1.582,
2008-01,1.593,
2008-04,1.627,
2008-07,1.592,
2008-10,1.592,
2009-01,1.620,
2009-04,1.651,
2009-07,1.728,
2009-10,1.822,
2010-01,1.864,
2010-04,1.833,
2010-07,1.846,
2010-10,1.865,
2011-01,1.848,
2011-04,1.807,
2011-07,1.797,
2011-10,1.808,
2012-01,1.912,
2012-04,1.902,
2012-07,1.916,
2012-10,1.978,
2013-01,1.984,
2013-04,1.968,
2013-07,1.947,
2013-10,1.958,
2014-01,1.953,
2014-04,1.920,
2014-07,1.948,
