"",BBK01.OEAC33T,BBK01.OEAC33T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:11,
2002-01,0.016,
2002-04,0.014,
2002-07,0.012,
2002-10,0.013,
2003-01,0.011,
2003-04,0.007,
2003-07,0.008,
2003-10,0.008,
2004-01,0.008,
2004-04,0.007,
2004-07,0.008,
2004-10,0.108,
2005-01,0.111,
2005-04,0.105,
2005-07,0.112,
2005-10,0.114,
2006-01,0.116,
2006-04,0.114,
2006-07,0.115,
2006-10,0.111,
2007-01,0.107,
2007-04,0.106,
2007-07,0.109,
2007-10,0.104,
2008-01,0.110,
2008-04,0.107,
2008-07,0.106,
2008-10,0.099,
2009-01,0.117,
2009-04,0.040,
2009-07,0.033,
2009-10,0.035,
2010-01,0.034,
2010-04,0.045,
2010-07,0.074,
2010-10,0.069,
2011-01,0.072,
2011-04,0.076,
2011-07,0.047,
2011-10,0.043,
2012-01,0.044,
2012-04,0.047,
2012-07,0.040,
2012-10,0.040,
2013-01,0.055,
2013-04,0.061,
2013-07,0.068,
2013-10,0.063,
2014-01,0.064,
2014-04,0.055,
2014-07,0.065,
