"",BBK01.OEAH47Q,BBK01.OEAH47Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:15,
2002-01,0.027,
2002-04,0.024,
2002-07,0.021,
2002-10,0.020,
2003-01,0.019,
2003-04,0.016,
2003-07,0.019,
2003-10,0.021,
2004-01,0.024,
2004-04,0.025,
2004-07,0.029,
2004-10,0.029,
2005-01,0.030,
2005-04,0.030,
2005-07,0.031,
2005-10,0.035,
2006-01,0.034,
2006-04,0.032,
2006-07,0.047,
2006-10,0.046,
2007-01,0.042,
2007-04,0.047,
2007-07,0.058,
2007-10,0.078,
2008-01,0.099,
2008-04,0.106,
2008-07,0.108,
2008-10,0.129,
2009-01,0.108,
2009-04,0.121,
2009-07,0.125,
2009-10,0.133,
2010-01,0.132,
2010-04,0.137,
2010-07,0.139,
2010-10,0.139,
2011-01,0.141,
2011-04,0.131,
2011-07,0.131,
2011-10,0.141,
2012-01,0.152,
2012-04,0.148,
2012-07,0.144,
2012-10,0.138,
2013-01,0.140,
2013-04,0.138,
2013-07,0.136,
2013-10,0.122,
2014-01,0.108,
2014-04,0.097,
2014-07,0.086,
