"",BBK01.OEAG01G,BBK01.OEAG01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:11,
2002-01,46.292,
2002-04,44.332,
2002-07,45.101,
2002-10,43.471,
2003-01,43.828,
2003-04,44.511,
2003-07,45.954,
2003-10,45.301,
2004-01,45.447,
2004-04,42.031,
2004-07,40.675,
2004-10,40.347,
2005-01,32.418,
2005-04,31.092,
2005-07,29.415,
2005-10,29.382,
2006-01,29.799,
2006-04,30.058,
2006-07,30.724,
2006-10,30.752,
2007-01,29.765,
2007-04,29.039,
2007-07,29.432,
2007-10,28.857,
2008-01,26.964,
2008-04,28.695,
2008-07,30.586,
2008-10,30.183,
2009-01,31.417,
2009-04,31.503,
2009-07,31.663,
2009-10,32.337,
2010-01,33.082,
2010-04,33.155,
2010-07,36.653,
2010-10,36.708,
2011-01,36.326,
2011-04,36.512,
2011-07,36.362,
2011-10,35.197,
2012-01,37.306,
2012-04,37.010,
2012-07,36.407,
2012-10,33.260,
2013-01,32.193,
2013-04,31.334,
2013-07,29.432,
2013-10,30.027,
2014-01,30.530,
2014-04,29.941,
2014-07,30.132,
