"",BBK01.OEAB11T,BBK01.OEAB11T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:42,
2002-01,0.295,
2002-04,0.285,
2002-07,0.281,
2002-10,0.291,
2003-01,0.279,
2003-04,0.271,
2003-07,0.291,
2003-10,0.324,
2004-01,0.371,
2004-04,0.374,
2004-07,0.362,
2004-10,0.449,
2005-01,0.462,
2005-04,0.447,
2005-07,0.441,
2005-10,0.438,
2006-01,0.439,
2006-04,0.424,
2006-07,0.432,
2006-10,0.419,
2007-01,0.419,
2007-04,0.377,
2007-07,0.373,
2007-10,0.344,
2008-01,0.403,
2008-04,0.404,
2008-07,0.421,
2008-10,0.431,
2009-01,0.441,
2009-04,0.371,
2009-07,0.358,
2009-10,0.356,
2010-01,0.312,
2010-04,0.353,
2010-07,0.459,
2010-10,0.398,
2011-01,0.521,
2011-04,0.610,
2011-07,0.602,
2011-10,0.650,
2012-01,0.666,
2012-04,0.718,
2012-07,0.751,
2012-10,0.646,
2013-01,0.690,
2013-04,0.745,
2013-07,0.721,
2013-10,0.731,
2014-01,0.703,
2014-04,0.735,
2014-07,0.741,
