"",BBK01.OEAH64L,BBK01.OEAH64L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:26,
2002-01,7.037,
2002-04,7.127,
2002-07,7.160,
2002-10,7.181,
2003-01,6.841,
2003-04,6.681,
2003-07,6.547,
2003-10,6.681,
2004-01,6.797,
2004-04,7.057,
2004-07,7.027,
2004-10,6.942,
2005-01,6.630,
2005-04,6.410,
2005-07,6.229,
2005-10,6.292,
2006-01,6.447,
2006-04,6.626,
2006-07,7.030,
2006-10,7.556,
2007-01,8.293,
2007-04,9.064,
2007-07,9.962,
2007-10,11.151,
2008-01,11.682,
2008-04,12.323,
2008-07,12.878,
2008-10,13.467,
2009-01,11.787,
2009-04,10.065,
2009-07,8.858,
2009-10,7.791,
2010-01,7.254,
2010-04,7.160,
2010-07,7.000,
2010-10,7.204,
2011-01,7.359,
2011-04,7.802,
2011-07,7.950,
2011-10,8.514,
2012-01,8.640,
2012-04,8.594,
2012-07,8.513,
2012-10,8.381,
2013-01,7.915,
2013-04,7.558,
2013-07,7.288,
2013-10,7.303,
2014-01,7.268,
2014-04,7.275,
2014-07,7.288,
