"",BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.E1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:14,
1991-01,56.002,
1991-04,-531.125,
1991-07,187.329,
1991-10,17.797,
1992-01,-68.692,
1992-04,199.365,
1992-07,-326.146,
1992-10,-212.882,
1993-01,-280.302,
1993-04,90.005,
1993-07,866.125,
1993-10,-458.084,
1994-01,-517.887,
1994-04,-1435.405,
1994-07,295.318,
1994-10,468.250,
1995-01,-209.170,
1995-04,-773.102,
1995-07,103.465,
1995-10,995.872,
1996-01,-520.560,
1996-04,-275.953,
1996-07,499.642,
1996-10,3514.588,
1997-01,1808.596,
1997-04,503.453,
1997-07,2280.929,
1997-10,706.362,
1998-01,771.085,
1998-04,2714.238,
1998-07,-6376.124,
1998-10,7614.811,
1999-01,-1845.256,
1999-04,2995.359,
1999-07,-2651.412,
1999-10,5161.297,
2000-01,3446.676,
2000-04,-324.354,
2000-07,5700.168,
2000-10,2429.920,
2001-01,-2422.234,
2001-04,-7002.228,
2001-07,7146.404,
2001-10,-372.076,
2002-01,-535.027,
2002-04,-1326.824,
2002-07,4915.471,
2002-10,-553.680,
2003-01,-2032.399,
2003-04,2868.050,
2003-07,894.363,
2003-10,1212.130,
2004-01,403.397,
2004-04,2528.117,
2004-07,-2550.460,
2004-10,3843.588,
2005-01,5155.382,
2005-04,3408.752,
2005-07,-3424.821,
2005-10,2969.512,
2006-01,5183.882,
2006-04,-2537.824,
2006-07,1850.540,
2006-10,1109.219,
2007-01,8998.128,
2007-04,10760.071,
2007-07,32430.758,
2007-10,29912.470,
2008-01,18117.875,
2008-04,17824.802,
2008-07,1758.340,
2008-10,-4443.331,
2009-01,-17819.739,
2009-04,467.750,
2009-07,6134.944,
2009-10,2290.006,
2010-01,1316.311,
2010-04,5524.988,
2010-07,5146.729,
2010-10,-8.921,
2011-01,7143.430,
2011-04,5848.610,
2011-07,7754.718,
2011-10,6252.209,
2012-01,3391.270,
2012-04,11050.561,
2012-07,6293.058,
2012-10,6490.012,
2013-01,6303.806,
2013-04,3930.236,
2013-07,1145.146,
2013-10,5656.483,
2014-01,5792.359,Provisional value
2014-04,9275.701,Provisional value
2014-07,6357.865,Provisional value
2014-10,7800.951,Provisional value
