"",BBK01.OEAL02T,BBK01.OEAL02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:04,
2002-01,5.223,
2002-04,5.397,
2002-07,5.488,
2002-10,5.603,
2003-01,5.557,
2003-04,5.551,
2003-07,5.472,
2003-10,5.578,
2004-01,5.586,
2004-04,5.512,
2004-07,5.474,
2004-10,5.543,
2005-01,5.696,
2005-04,5.665,
2005-07,5.670,
2005-10,5.814,
2006-01,5.773,
2006-04,5.730,
2006-07,5.686,
2006-10,5.766,
2007-01,5.756,
2007-04,5.839,
2007-07,5.928,
2007-10,6.053,
2008-01,5.930,
2008-04,5.954,
2008-07,5.943,
2008-10,6.258,
2009-01,6.532,
2009-04,6.702,
2009-07,6.933,
2009-10,7.272,
2010-01,7.415,
2010-04,7.581,
2010-07,7.676,
2010-10,7.907,
2011-01,7.803,
2011-04,7.850,
2011-07,7.944,
2011-10,8.132,
2012-01,8.155,
2012-04,8.300,
2012-07,8.372,
2012-10,8.630,
2013-01,8.753,
2013-04,8.962,
2013-07,9.081,
2013-10,9.255,
2014-01,9.402,
2014-04,9.578,
2014-07,9.813,
