"",BBK01.OEAH06O,BBK01.OEAH06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:49,
2002-01,-0.873,
2002-04,-0.854,
2002-07,-0.768,
2002-10,-0.611,
2003-01,-0.617,
2003-04,-0.598,
2003-07,-0.492,
2003-10,-0.387,
2004-01,-0.285,
2004-04,-0.272,
2004-07,-0.227,
2004-10,-0.167,
2005-01,0.590,
2005-04,0.568,
2005-07,0.536,
2005-10,0.542,
2006-01,0.529,
2006-04,0.571,
2006-07,0.616,
2006-10,0.640,
2007-01,0.659,
2007-04,0.920,
2007-07,1.031,
2007-10,1.251,
2008-01,1.361,
2008-04,1.355,
2008-07,1.472,
2008-10,1.632,
2009-01,1.565,
2009-04,1.603,
2009-07,1.513,
2009-10,1.735,
2010-01,1.549,
2010-04,1.338,
2010-07,1.330,
2010-10,1.312,
2011-01,1.286,
2011-04,1.061,
2011-07,1.039,
2011-10,1.109,
2012-01,1.086,
2012-04,1.364,
2012-07,1.432,
2012-10,1.448,
2013-01,1.202,
2013-04,0.795,
2013-07,0.741,
2013-10,0.702,
2014-01,0.641,
2014-04,0.610,
2014-07,0.645,
