"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.BE.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.BE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:11,
2009-09,10812,
2009-10,10911,
2009-11,11007,
2009-12,11233,
2010-01,11725,
2010-02,11787,
2010-03,11977,
2010-04,12243,
2010-05,12484,
2010-06,12575,
2010-07,13009,
2010-08,13634,
2010-09,13860,
2010-10,14534,
2010-11,14020,
2010-12,13312,
2011-01,12824,
2011-02,13005,
2011-03,13009,
2011-04,12971,
2011-05,13028,
2011-06,12820,
2011-07,12602,
2011-08,12768,
2011-09,12824,
2011-10,12314,
2011-11,11826,
2011-12,12661,
2012-01,12480,
2012-02,13348,
2012-03,13858,
2012-04,14146,
2012-05,14787,
2012-06,14916,
2012-07,15657,
2012-08,15580,
2012-09,15986,
2012-10,16213,
2012-11,16957,
2012-12,17825,
2013-01,17575,
2013-02,17943,
2013-03,17820,
2013-04,18012,
2013-05,18189,
2013-06,17684,
2013-07,18229,
2013-08,18276,
2013-09,18895,
2013-10,19367,
2013-11,19304,
2013-12,19579,
2014-01,20217,
2014-02,20625,
2014-03,21439,
2014-04,21587,
2014-05,22271,
2014-06,22410,
2014-07,22593,
2014-08,23044,
2014-09,22782,
2014-10,22856,
2014-11,23343,
