"",BBK01.CEF080,BBK01.CEF080_FLAGS
"",Total liabilities                debtor: Money-market funds                    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:36,
1999-01,20.5,
1999-04,22.8,
1999-07,24.5,
1999-10,22.1,
2000-01,24.9,
2000-04,22.9,
2000-07,21.6,
2000-10,20.3,
2001-01,23.7,
2001-04,25.3,
2001-07,29.2,
2001-10,34.1,
2002-01,36.6,
2002-04,36.4,
2002-07,38.9,
2002-10,38.7,
2003-01,42.2,
2003-04,40.7,
2003-07,40.2,
2003-10,38.5,
2004-01,37.4,
2004-04,37.6,
2004-07,40.2,
2004-10,32.9,
2005-01,35.4,
2005-04,35.6,
2005-07,36.9,
2005-10,32.8,
2006-01,32.7,
2006-04,34.1,
2006-07,32.7,
2006-10,33.4,
2007-01,34.0,
2007-04,36.9,
2007-07,31.8,
2007-10,29.9,
2008-01,28.6,
2008-04,24.9,
2008-07,23.6,
2008-10,17.3,
2009-01,15.6,
2009-04,14.4,
2009-07,13.0,
2009-10,12.3,
2010-01,12.2,
2010-04,11.5,
2010-07,10.7,
2010-10,10.4,
2011-01,10.5,
2011-04,9.9,
2011-07,7.8,
2011-10,6.6,
2012-01,5.9,
2012-04,6.1,
2012-07,5.5,
2012-10,7.8,
2013-01,7.2,
2013-04,6.3,
2013-07,5.7,
2013-10,4.5,
2014-01,4.4,
2014-04,4.2,
2014-07,4.0,
