"",BBK01.OEAA51N,BBK01.OEAA51N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:22,
2002-01,6.822,
2002-04,5.732,
2002-07,5.953,
2002-10,4.788,
2003-01,5.531,
2003-04,5.637,
2003-07,3.729,
2003-10,3.522,
2004-01,3.127,
2004-04,3.978,
2004-07,2.970,
2004-10,3.415,
2005-01,3.392,
2005-04,3.639,
2005-07,4.607,
2005-10,5.591,
2006-01,5.867,
2006-04,11.139,
2006-07,14.477,
2006-10,18.194,
2007-01,13.610,
2007-04,17.190,
2007-07,18.336,
2007-10,21.072,
2008-01,13.480,
2008-04,16.199,
2008-07,20.080,
2008-10,19.740,
2009-01,15.849,
2009-04,14.405,
2009-07,13.670,
2009-10,14.823,
2010-01,15.642,
2010-04,17.240,
2010-07,13.769,
2010-10,12.240,
2011-01,9.018,
2011-04,10.043,
2011-07,9.938,
2011-10,11.286,
2012-01,10.372,
2012-04,5.804,
2012-07,7.132,
2012-10,5.628,
2013-01,6.824,
2013-04,6.709,
2013-07,6.347,
2013-10,6.729,
2014-01,6.741,
2014-04,6.894,
2014-07,6.656,
