"",BBK01.OEHI02T,BBK01.OEHI02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:36,
2002-01,4.707,
2002-04,4.699,
2002-07,4.809,
2002-10,5.076,
2003-01,4.881,
2003-04,4.769,
2003-07,4.775,
2003-10,4.974,
2004-01,4.881,
2004-04,4.760,
2004-07,4.766,
2004-10,5.012,
2005-01,4.819,
2005-04,4.770,
2005-07,4.751,
2005-10,4.960,
2006-01,4.728,
2006-04,4.723,
2006-07,4.778,
2006-10,4.940,
2007-01,4.825,
2007-04,4.812,
2007-07,4.844,
2007-10,5.060,
2008-01,4.847,
2008-04,4.849,
2008-07,4.849,
2008-10,5.159,
2009-01,5.227,
2009-04,5.639,
2009-07,5.926,
2009-10,6.271,
2010-01,6.152,
2010-04,6.343,
2010-07,6.390,
2010-10,6.622,
2011-01,6.388,
2011-04,6.406,
2011-07,6.463,
2011-10,6.757,
2012-01,6.605,
2012-04,6.775,
2012-07,6.962,
2012-10,7.243,
2013-01,7.159,
2013-04,7.377,
2013-07,7.610,
2013-10,7.859,
2014-01,7.838,
2014-04,7.981,
2014-07,8.127,
