"",BBK01.OEXJ01P,BBK01.OEXJ01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:26,
2002-01,0.228,
2002-04,0.234,
2002-07,0.255,
2002-10,0.289,
2003-01,0.259,
2003-04,0.215,
2003-07,0.119,
2003-10,0.123,
2004-01,0.069,
2004-04,0.067,
2004-07,0.139,
2004-10,0.199,
2005-01,0.115,
2005-04,0.117,
2005-07,0.145,
2005-10,0.149,
2006-01,0.167,
2006-04,0.164,
2006-07,0.122,
2006-10,0.214,
2007-01,0.231,
2007-04,0.200,
2007-07,0.163,
2007-10,0.242,
2008-01,0.298,
2008-04,0.299,
2008-07,0.199,
2008-10,0.386,
2009-01,0.371,
2009-04,0.245,
2009-07,0.301,
2009-10,0.307,
2010-01,0.450,
2010-04,0.467,
2010-07,0.478,
2010-10,0.520,
2011-01,0.610,
2011-04,0.674,
2011-07,0.617,
2011-10,0.642,
2012-01,0.611,
2012-04,0.586,
2012-07,0.602,
2012-10,0.678,
2013-01,0.608,
2013-04,0.534,
2013-07,0.521,
2013-10,0.382,
2014-01,0.438,
2014-04,0.417,
2014-07,0.404,
