"",BBK01.OEAK04H,BBK01.OEAK04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:23,
2002-01,6.964,
2002-04,6.706,
2002-07,6.789,
2002-10,6.706,
2003-01,6.477,
2003-04,6.090,
2003-07,5.985,
2003-10,5.768,
2004-01,5.090,
2004-04,4.667,
2004-07,4.976,
2004-10,4.817,
2005-01,4.859,
2005-04,4.827,
2005-07,4.542,
2005-10,4.769,
2006-01,4.979,
2006-04,5.248,
2006-07,5.727,
2006-10,6.361,
2007-01,6.476,
2007-04,6.535,
2007-07,7.756,
2007-10,8.949,
2008-01,9.171,
2008-04,9.605,
2008-07,10.250,
2008-10,10.922,
2009-01,7.722,
2009-04,6.480,
2009-07,5.681,
2009-10,5.216,
2010-01,4.586,
2010-04,4.224,
2010-07,4.007,
2010-10,3.987,
2011-01,3.793,
2011-04,3.854,
2011-07,3.919,
2011-10,4.147,
2012-01,3.954,
2012-04,3.723,
2012-07,3.415,
2012-10,3.021,
2013-01,2.706,
2013-04,2.542,
2013-07,2.753,
2013-10,2.853,
2014-01,2.828,
2014-04,2.663,
2014-07,2.920,
