"",BBK01.OEAA23L,BBK01.OEAA23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:24,
2002-01,72.749,
2002-04,72.418,
2002-07,74.108,
2002-10,73.727,
2003-01,76.324,
2003-04,77.430,
2003-07,77.689,
2003-10,77.894,
2004-01,79.106,
2004-04,79.565,
2004-07,82.467,
2004-10,83.708,
2005-01,83.584,
2005-04,83.758,
2005-07,83.569,
2005-10,84.044,
2006-01,83.995,
2006-04,83.506,
2006-07,82.658,
2006-10,79.417,
2007-01,80.525,
2007-04,78.695,
2007-07,81.492,
2007-10,84.927,
2008-01,88.209,
2008-04,82.964,
2008-07,86.422,
2008-10,86.994,
2009-01,85.098,
2009-04,84.724,
2009-07,78.971,
2009-10,77.631,
2010-01,77.983,
2010-04,77.439,
2010-07,78.578,
2010-10,78.183,
2011-01,76.749,
2011-04,75.557,
2011-07,74.467,
2011-10,72.015,
2012-01,71.324,
2012-04,70.206,
2012-07,68.505,
2012-10,63.390,
2013-01,62.711,
2013-04,62.085,
2013-07,61.086,
2013-10,60.948,
2014-01,59.352,
2014-04,57.956,
2014-07,58.692,
