"",BBK01.TUS016,BBK01.TUS016_FLAGS
"",,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:59:24,
1999-06,160603,
1999-07,163944,
1999-08,163951,
1999-09,167815,
1999-10,172328,
1999-11,167224,
1999-12,182046,
2000-01,167535,
2000-02,159069,
2000-03,170200,
2000-04,174670,
2000-05,166496,
2000-06,176732,
2000-07,170130,
2000-08,170737,
2000-09,168558,
2000-10,163052,
2000-11,166541,
2000-12,180960,
2001-01,165973,
2001-02,165493,
2001-03,170445,
2001-04,163644,
2001-05,164800,
2001-06,164577,
2001-07,168560,
2001-08,164474,
2001-09,160278,
2001-10,155504,
2001-11,148992,
2001-12,133973,
2002-01,128682,
2002-02,121425,
2002-03,122555,
2002-04,121812,
2002-05,129033,
2002-06,128286,
2002-07,130700,
2002-08,134959,
2002-09,132950,
2002-10,135529,
2002-11,136689,
2002-12,144583,
2003-01,135349,
2003-02,134219,
2003-03,146197,
2003-04,138124,
2003-05,139557,
2003-06,144004,
2003-07,148073,
2003-08,149663,
2003-09,150969,
2003-10,152833,
2003-11,149170,
2003-12,165967,
2004-01,152143,
2004-02,150059,
2004-03,146024,
2004-04,156037,
2004-05,164205,
2004-06,158905,
2004-07,165284,
2004-08,166549,
2004-09,166589,
2004-10,163677,
2004-11,177800,
2004-12,177656,
2005-01,173119,
2005-02,173194,
2005-03,174172,
2005-04,177685,
2005-05,180725,
2005-06,177129,
2005-07,184931,
2005-08,182490,
2005-09,183789,
2005-10,183539,
2005-11,189214,
2005-12,200053,
2006-01,194136,
2006-02,188410,
2006-03,191231,
2006-04,193479,
2006-05,206708,
2006-06,197650,
2006-07,212732,
2006-08,205244,
2006-09,206440,
2006-10,209724,
2006-11,202005,
2006-12,218837,
2007-01,201386,
2007-02,207790,
2007-03,214534,
2007-04,212966,
2007-05,214958,
2007-06,211762,
2007-07,220462,
2007-08,204824,
2007-09,220078,
2007-10,217593,
2007-11,228270,
2007-12,293294,
2008-01,218774,
2008-02,231398,
2008-03,249092,
2008-04,234744,
2008-05,232439,
2008-06,239829,
2008-07,227195,
2008-08,235703,
2008-09,296717,
2008-10,343452,
2008-11,336348,
2008-12,373558,
2009-01,311836,
2009-02,291761,
2009-03,286502,
2009-04,269489,
2009-05,277237,
2009-06,367342,
2009-07,313629,
2009-08,299032,
2009-09,301228,
2009-10,279106,
2009-11,280728,
2009-12,313467,
2010-01,301928,
2010-02,323342,
2010-03,334698,
2010-04,338329,
2010-05,394016,
2010-06,411510,
2010-07,320781,
2010-08,318487,
2010-09,324313,
2010-10,317846,
2010-11,320831,
2010-12,356046,
2011-01,313939,
2011-02,324930,
2011-03,325091,
2011-04,303697,
2011-05,303642,
2011-06,319394,
2011-07,313410,
2011-08,357074,
2011-09,418927,
2011-10,427320,
2011-11,465832,
2011-12,450137,
2012-01,510438,
2012-02,558452,
2012-03,641162,
2012-04,669862,
2012-05,684652,
2012-06,679610,
2012-07,645216,
2012-08,665699,
2012-09,607978,
2012-10,594260,
2012-11,583395,
2012-12,527193,
2013-01,480111,
2013-02,459865,
2013-03,446027,
2013-04,439972,
2013-05,423690,
2013-06,421975,
2013-07,414865,
2013-08,407352,
2013-09,401638,
2013-10,368371,
2013-11,365661,
2013-12,378717,
2014-01,343748,
2014-02,335932,
2014-03,325568,
2014-04,337111,
2014-05,329035,
2014-06,292517,
2014-07,285900,
2014-08,298639,
2014-09,314969,
2014-10,303010,
2014-11,295183,
2014-12,330714,
2015-01,312150,
