"",BBK01.OEAD17I,BBK01.OEAD17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:05,
2002-01,0.192,
2002-04,0.174,
2002-07,0.169,
2002-10,0.183,
2003-01,0.186,
2003-04,0.199,
2003-07,0.192,
2003-10,0.198,
2004-01,0.209,
2004-04,0.174,
2004-07,0.172,
2004-10,0.151,
2005-01,0.161,
2005-04,0.147,
2005-07,0.158,
2005-10,0.119,
2006-01,0.127,
2006-04,0.103,
2006-07,0.152,
2006-10,0.095,
2007-01,0.102,
2007-04,0.141,
2007-07,0.120,
2007-10,0.132,
2008-01,0.105,
2008-04,0.122,
2008-07,0.109,
2008-10,0.106,
2009-01,0.135,
2009-04,0.137,
2009-07,0.121,
2009-10,0.089,
2010-01,0.111,
2010-04,0.107,
2010-07,0.114,
2010-10,0.111,
2011-01,0.138,
2011-04,0.103,
2011-07,0.101,
2011-10,0.097,
2012-01,0.113,
2012-04,0.118,
2012-07,0.138,
2012-10,0.158,
2013-01,0.173,
2013-04,0.171,
2013-07,0.168,
2013-10,0.154,
2014-01,0.161,
2014-04,0.169,
2014-07,0.153,
