"",BBK01.OEXI08N,BBK01.OEXI08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:15,
2002-01,30.883,
2002-04,31.118,
2002-07,31.203,
2002-10,34.343,
2003-01,36.080,
2003-04,36.635,
2003-07,37.451,
2003-10,39.700,
2004-01,40.677,
2004-04,40.927,
2004-07,40.890,
2004-10,5.982,
2005-01,6.147,
2005-04,6.158,
2005-07,6.084,
2005-10,6.148,
2006-01,6.086,
2006-04,5.931,
2006-07,5.705,
2006-10,5.754,
2007-01,5.729,
2007-04,5.772,
2007-07,5.828,
2007-10,6.074,
2008-01,6.183,
2008-04,6.082,
2008-07,6.026,
2008-10,6.199,
2009-01,6.294,
2009-04,6.446,
2009-07,7.047,
2009-10,7.768,
2010-01,7.850,
2010-04,7.656,
2010-07,7.541,
2010-10,7.531,
2011-01,7.438,
2011-04,6.938,
2011-07,6.636,
2011-10,6.534,
2012-01,6.449,
2012-04,6.459,
2012-07,6.611,
2012-10,6.765,
2013-01,6.712,
2013-04,6.705,
2013-07,6.809,
2013-10,6.934,
2014-01,6.906,
2014-04,6.793,
2014-07,6.656,
