"",BBEX3.M.SVC.USD.CA.AA.A01,BBEX3.M.SVC.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in El Salvador / USD 1 = SVC ... (buying),
unit,SVC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:10,
1991-01,8.03,
1991-02,8.00,
1991-03,7.96,
1991-04,7.96,
1991-05,7.97,
1991-06,7.98,
1991-07,7.98,
1991-08,7.98,
1991-09,7.99,
1991-10,8.10,
1991-11,8.11,
1991-12,8.11,
1992-01,8.10,
1992-02,8.12,
1992-03,8.17,
1992-04,8.16,
1992-05,8.16,
1992-06,8.26,comment
1992-07,8.33,
1992-08,8.48,
1992-09,8.56,
1992-10,8.72,
1992-11,9.32,
1992-12,8.49,
1993-01,8.76,
1993-02,8.71,
1993-03,8.72,
1993-04,8.70,
1993-05,8.70,
1993-06,8.72,
1993-07,8.69,
1993-08,8.65,
1993-09,8.67,
1993-10,8.68,
1993-11,8.69,
1993-12,8.67,
1994-01,8.72,
1994-02,8.72,
1994-03,8.71,comment
1994-04,8.72,
1994-05,8.72,
1994-06,8.72,
1994-07,8.72,
1994-08,8.71,
1994-09,8.72,
1994-10,8.72,
1994-11,8.73,
1994-12,8.73,
1995-01,8.72,
1995-02,8.72,
1995-03,8.72,
1995-04,8.72,
1995-05,8.72,
1995-06,8.72,
1995-07,8.72,
1995-08,8.72,
1995-09,8.72,
1995-10,8.72,
1995-11,8.72,
1995-12,8.72,
1996-01,8.72,
1996-02,8.72,
1996-03,8.72,
1996-04,8.72,
1996-05,8.72,
1996-06,8.72,
1996-07,8.72,
1996-08,8.72,
1996-09,8.72,
1996-10,8.72,
1996-11,8.72,
1996-12,8.72,
1997-01,8.72,
1997-02,8.72,
1997-03,8.72,
1997-04,8.72,
1997-05,8.72,
1997-06,8.72,
1997-07,8.72,
1997-08,8.72,
1997-09,8.72,
1997-10,8.72,
1997-11,8.72,
1997-12,8.72,
1998-01,8.72,
1998-02,8.72,
1998-03,8.72,
1998-04,8.72,
1998-05,8.72,
1998-06,8.72,
1998-07,8.72,
1998-08,8.72,
1998-09,8.72,
1998-10,8.72,
1998-11,8.72,
1998-12,8.72,
1999-01,8.72,
1999-02,8.72,
1999-03,8.72,
1999-04,8.72,
1999-05,8.72,
1999-06,8.72,
1999-07,8.72,
1999-08,8.72,
1999-09,8.72,
1999-10,8.72,
1999-11,8.72,
1999-12,8.72,
2000-01,8.72,
2000-02,8.72,
2000-03,8.72,
2000-04,8.72,
2000-05,8.72,
2000-06,8.72,
2000-07,8.72,
2000-08,8.72,
2000-09,8.72,
2000-10,8.72,
2000-11,8.72,
2000-12,8.72,
"","General: With effect from 1 January 2001, the US dollar was introduced as legal tender alongside the El Salvador colón at the rate of USD 1 = SVC 8.75; see BBEX2:M:SVC:USD:CA:AC:A01.",
"","Source: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"",Comment on 1992-06: Exchange rate as of 26 June 1992.,
"",Comment on 1994-03: Exchange rate as of 25 March 1994.,
