"",BBK01.OEBM04T,BBK01.OEBM04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:41,
2002-01,0.361,
2002-04,0.342,
2002-07,0.356,
2002-10,0.229,
2003-01,0.227,
2003-04,0.220,
2003-07,0.207,
2003-10,0.164,
2004-01,0.137,
2004-04,0.087,
2004-07,0.094,
2004-10,0.095,
2005-01,0.089,
2005-04,0.098,
2005-07,0.098,
2005-10,0.115,
2006-01,0.126,
2006-04,0.213,
2006-07,0.254,
2006-10,0.252,
2007-01,0.296,
2007-04,0.336,
2007-07,0.342,
2007-10,0.393,
2008-01,0.337,
2008-04,0.424,
2008-07,0.366,
2008-10,0.276,
2009-01,0.092,
2009-04,0.068,
2009-07,0.043,
2009-10,0.014,
2010-01,0.014,
2010-04,0.013,
2010-07,0.016,
2010-10,0.009,
2011-01,0.013,
2011-04,0.048,
2011-07,0.061,
2011-10,0.179,
2012-01,0.230,
2012-04,0.324,
2012-07,0.327,
2012-10,0.332,
2013-01,0.328,
2013-04,0.379,
2013-07,0.375,
2013-10,0.310,
2014-01,0.465,
2014-04,0.406,
2014-07,0.387,
