"",BBK01.BQM408,BBK01.BQM408_FLAGS
"",Social security funds? debt - of which loans - of which short-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:41,
2000-01,1430,
2000-04,1814,
2000-07,1445,
2000-10,1260,
2001-01,1351,
2001-04,1817,
2001-07,1572,
2001-10,1680,
2002-01,2020,
2002-04,2621,
2002-07,2625,
2002-10,2286,
2003-01,2999,
2003-04,3391,
2003-07,3885,
2003-10,4526,
2004-01,4052,
2004-04,3250,
2004-07,3166,
2004-10,3086,
2005-01,2770,
2005-04,2508,
2005-07,2425,
2005-10,1696,
2006-01,1272,
2006-04,631,
2006-07,706,
2006-10,764,
2007-01,501,
2007-04,558,
2007-07,694,
2007-10,489,
2008-01,502,
2008-04,487,
2008-07,819,
2008-10,286,
2009-01,469,
2009-04,273,
2009-07,366,
2009-10,191,
2010-01,181,Provisional value
2010-04,176,Provisional value
2010-07,317,Provisional value
2010-10,156,Provisional value
2011-01,502,Provisional value
2011-04,1507,Provisional value
2011-07,223,Provisional value
2011-10,237,Provisional value
2012-01,266,Provisional value
2012-04,260,Provisional value
2012-07,319,Provisional value
2012-10,195,Provisional value
2013-01,246,Provisional value
2013-04,157,Provisional value
2013-07,176,Provisional value
2013-10,360,Provisional value
2014-01,324,Provisional value
2014-04,263,Provisional value
2014-07,196,Provisional value
