"",BBK01.OEHI02J,BBK01.OEHI02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:32,
2002-01,1.647,
2002-04,1.655,
2002-07,1.592,
2002-10,1.745,
2003-01,1.701,
2003-04,1.733,
2003-07,1.680,
2003-10,1.735,
2004-01,1.701,
2004-04,1.790,
2004-07,1.892,
2004-10,1.906,
2005-01,1.835,
2005-04,1.885,
2005-07,1.928,
2005-10,2.063,
2006-01,1.964,
2006-04,2.053,
2006-07,2.099,
2006-10,2.307,
2007-01,2.247,
2007-04,2.220,
2007-07,2.234,
2007-10,2.586,
2008-01,2.231,
2008-04,2.386,
2008-07,2.295,
2008-10,2.520,
2009-01,2.678,
2009-04,2.770,
2009-07,3.057,
2009-10,3.442,
2010-01,3.329,
2010-04,3.160,
2010-07,2.953,
2010-10,3.068,
2011-01,2.986,
2011-04,2.988,
2011-07,3.033,
2011-10,3.227,
2012-01,3.257,
2012-04,3.383,
2012-07,3.448,
2012-10,3.675,
2013-01,3.781,
2013-04,3.864,
2013-07,3.966,
2013-10,4.203,
2014-01,4.304,
2014-04,4.212,
2014-07,4.226,
