"",BBSF2.M.1.T.00000.IMM01.I.F.DGG.U3.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.DGG.U3.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Loans granted to real estate companies / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:58,
2009-09,1400,
2009-10,1410,
2009-11,1495,
2009-12,1572,
2010-01,1589,
2010-02,1536,
2010-03,1654,
2010-04,1671,
2010-05,1534,
2010-06,1604,
2010-07,1740,
2010-08,1754,
2010-09,1742,
2010-10,1722,
2010-11,1769,
2010-12,1710,
2011-01,1565,
2011-02,1561,
2011-03,1524,
2011-04,1550,
2011-05,1585,
2011-06,1554,
2011-07,1589,
2011-08,1581,
2011-09,1620,
2011-10,1690,
2011-11,1654,
2011-12,1680,
2012-01,1686,
2012-02,1703,
2012-03,1772,
2012-04,1721,
2012-05,1798,
2012-06,1802,
2012-07,1812,
2012-08,1776,
2012-09,1752,
2012-10,1763,
2012-11,1845,
2012-12,1882,
2013-01,1869,
2013-02,1835,
2013-03,1858,
2013-04,1850,
2013-05,1858,
2013-06,1777,
2013-07,1633,
2013-08,1645,
2013-09,1610,
2013-10,1619,
2013-11,1612,
2013-12,1671,
2014-01,1689,
2014-02,1678,
2014-03,1657,
2014-04,1655,
2014-05,1645,
2014-06,1654,
2014-07,1644,
2014-08,1585,
2014-09,1699,
2014-10,1646,
2014-11,1651,
