"",BBK01.OEBB05U,BBK01.OEBB05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:01,
2002-01,9.085,
2002-04,9.202,
2002-07,9.168,
2002-10,9.606,
2003-01,9.521,
2003-04,9.574,
2003-07,9.625,
2003-10,9.741,
2004-01,9.767,
2004-04,9.679,
2004-07,9.729,
2004-10,9.561,
2005-01,10.169,
2005-04,10.030,
2005-07,10.227,
2005-10,10.102,
2006-01,10.116,
2006-04,10.144,
2006-07,10.245,
2006-10,10.355,
2007-01,10.281,
2007-04,10.347,
2007-07,10.212,
2007-10,10.348,
2008-01,10.067,
2008-04,9.966,
2008-07,9.864,
2008-10,9.811,
2009-01,9.718,
2009-04,10.481,
2009-07,10.560,
2009-10,10.427,
2010-01,10.420,
2010-04,10.415,
2010-07,10.442,
2010-10,10.374,
2011-01,10.489,
2011-04,10.548,
2011-07,10.564,
2011-10,10.436,
2012-01,10.472,
2012-04,10.477,
2012-07,10.476,
2012-10,10.415,
2013-01,10.711,
2013-04,10.743,
2013-07,10.980,
2013-10,11.063,
2014-01,11.043,
2014-04,11.115,
2014-07,10.926,
