"",BBK01.OEBB19R,BBK01.OEBB19R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:31,
2002-01,0.132,
2002-04,0.128,
2002-07,0.127,
2002-10,0.149,
2003-01,0.148,
2003-04,0.161,
2003-07,0.157,
2003-10,0.153,
2004-01,0.154,
2004-04,0.154,
2004-07,0.154,
2004-10,0.154,
2005-01,0.157,
2005-04,0.160,
2005-07,0.157,
2005-10,0.153,
2006-01,0.155,
2006-04,0.156,
2006-07,0.157,
2006-10,0.158,
2007-01,0.156,
2007-04,0.151,
2007-07,0.148,
2007-10,0.142,
2008-01,0.141,
2008-04,0.139,
2008-07,0.141,
2008-10,0.139,
2009-01,0.139,
2009-04,0.139,
2009-07,0.135,
2009-10,0.132,
2010-01,0.129,
2010-04,0.136,
2010-07,0.135,
2010-10,0.128,
2011-01,0.127,
2011-04,0.126,
2011-07,0.125,
2011-10,0.118,
2012-01,0.116,
2012-04,0.115,
2012-07,0.114,
2012-10,0.116,
2013-01,0.117,
2013-04,0.117,
2013-07,0.120,
2013-10,0.109,
2014-01,0.104,
2014-04,0.101,
2014-07,0.102,
