"",BBK01.OEAF12J,BBK01.OEAF12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:48,
2002-01,0.410,
2002-04,0.411,
2002-07,0.426,
2002-10,0.388,
2003-01,0.362,
2003-04,0.365,
2003-07,0.367,
2003-10,0.352,
2004-01,0.322,
2004-04,0.315,
2004-07,0.317,
2004-10,0.294,
2005-01,0.290,
2005-04,0.302,
2005-07,0.332,
2005-10,0.334,
2006-01,0.310,
2006-04,0.290,
2006-07,0.284,
2006-10,0.274,
2007-01,0.265,
2007-04,0.258,
2007-07,0.261,
2007-10,0.266,
2008-01,0.268,
2008-04,0.271,
2008-07,0.275,
2008-10,0.275,
2009-01,0.252,
2009-04,0.260,
2009-07,0.246,
2009-10,0.240,
2010-01,0.237,
2010-04,0.234,
2010-07,0.229,
2010-10,0.232,
2011-01,0.236,
2011-04,0.246,
2011-07,0.256,
2011-10,0.244,
2012-01,0.243,
2012-04,0.224,
2012-07,0.209,
2012-10,0.219,
2013-01,0.209,
2013-04,0.209,
2013-07,0.217,
2013-10,0.216,
2014-01,0.206,
2014-04,0.228,
2014-07,0.216,
