"",BBK01.OECB24H,BBK01.OECB24H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:59,
2002-01,12.262,
2002-04,12.145,
2002-07,11.744,
2002-10,11.588,
2003-01,11.204,
2003-04,10.663,
2003-07,9.728,
2003-10,9.591,
2004-01,9.366,
2004-04,9.044,
2004-07,9.082,
2004-10,8.619,
2005-01,8.861,
2005-04,8.446,
2005-07,8.284,
2005-10,8.057,
2006-01,7.739,
2006-04,7.636,
2006-07,7.883,
2006-10,7.739,
2007-01,7.588,
2007-04,7.686,
2007-07,7.472,
2007-10,7.754,
2008-01,7.665,
2008-04,7.610,
2008-07,7.756,
2008-10,7.457,
2009-01,7.359,
2009-04,5.770,
2009-07,5.530,
2009-10,4.688,
2010-01,4.355,
2010-04,4.098,
2010-07,3.278,
2010-10,3.123,
2011-01,3.310,
2011-04,3.191,
2011-07,3.238,
2011-10,2.912,
2012-01,2.713,
2012-04,2.442,
2012-07,2.318,
2012-10,2.230,
2013-01,2.305,
2013-04,2.316,
2013-07,2.189,
2013-10,2.081,
2014-01,1.942,
2014-04,2.035,
2014-07,2.010,
