"",BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:30,
1991-01,333.696,
1991-04,149.348,
1991-07,-55.344,
1991-10,-337.140,
1992-01,770.971,
1992-04,-446.119,
1992-07,-936.509,
1992-10,-20.316,
1993-01,397.662,
1993-04,119.237,
1993-07,385.458,
1993-10,240.104,
1994-01,129.594,
1994-04,249.056,
1994-07,398.382,
1994-10,150.200,
1995-01,-111.528,
1995-04,-245.150,
1995-07,26.191,
1995-10,-1.753,
1996-01,-179.374,
1996-04,-569.896,
1996-07,96.621,
1996-10,-720.914,
1997-01,-296.612,
1997-04,-207.389,
1997-07,878.794,
1997-10,-953.026,
1998-01,502.902,
1998-04,266.826,
1998-07,-437.895,
1998-10,-105.288,
1999-01,824.680,
1999-04,-240.095,
1999-07,-64.936,
1999-10,5.895,
2000-01,-614.280,
2000-04,-364.990,
2000-07,321.064,
2000-10,-351.592,
2001-01,47.319,
2001-04,444.806,
2001-07,83.887,
2001-10,-984.887,
2002-01,-710.417,
2002-04,-147.297,
2002-07,774.315,
2002-10,28.391,
2003-01,-115.112,
2003-04,521.467,
2003-07,-334.167,
2003-10,354.093,
2004-01,827.378,
2004-04,675.000,
2004-07,-66.625,
2004-10,336.500,
2005-01,524.144,
2005-04,132.531,
2005-07,583.614,
2005-10,746.908,
2006-01,368.120,
2006-04,341.141,
2006-07,-50.145,
2006-10,-582.136,
2007-01,1220.392,
2007-04,-161.052,
2007-07,1456.858,
2007-10,1555.698,
2008-01,922.982,
2008-04,2310.552,
2008-07,3870.814,
2008-10,265.792,
2009-01,-466.564,
2009-04,62.026,
2009-07,-836.892,
2009-10,322.120,
2010-01,-1474.851,
2010-04,-839.854,
2010-07,-938.433,
2010-10,635.559,
2011-01,-718.747,
2011-04,-386.719,
2011-07,185.203,
2011-10,786.838,
2012-01,-1459.464,
2012-04,-862.657,
2012-07,751.079,
2012-10,96.380,
2013-01,1130.745,
2013-04,165.435,
2013-07,2615.100,
2013-10,1273.208,
2014-01,2063.834,Provisional value
2014-04,1422.155,Provisional value
2014-07,1160.488,Provisional value
2014-10,3732.272,Provisional value
