"",BBK01.OEYB22S,BBK01.OEYB22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:37,
2002-01,0.004,
2002-04,0.042,
2002-07,0.045,
2002-10,0.011,
2003-01,0.018,
2003-04,0.017,
2003-07,0.015,
2003-10,0.020,
2004-01,0.009,
2004-04,0.019,
2004-07,0.006,
2004-10,0.027,
2005-01,0.028,
2005-04,0.005,
2005-07,0.006,
2005-10,0.009,
2006-01,0.014,
2006-04,0.015,
2006-07,0.013,
2006-10,0.010,
2007-01,0.002,
2007-04,0.042,
2007-07,0.044,
2007-10,0.049,
2008-01,0.048,
2008-04,0.008,
2008-07,0.007,
2008-10,0.005,
2009-01,0.010,
2009-04,0.013,
2009-07,0.016,
2009-10,0.080,
2010-01,0.089,
2010-04,0.016,
2010-07,0.015,
2010-10,0.096,
2011-01,0.083,
2011-04,0.039,
2011-07,0.032,
2011-10,0.090,
2012-01,0.082,
2012-04,0.041,
2012-07,0.031,
2012-10,0.040,
2013-01,0.040,
2013-04,0.040,
2013-07,0.010,
2013-10,0.050,
2014-01,0.037,
2014-04,0.012,
2014-07,0.012,
