"",BBK01.OEAF22P,BBK01.OEAF22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:15,
2002-01,0.688,
2002-04,0.672,
2002-07,0.663,
2002-10,0.639,
2003-01,0.633,
2003-04,0.627,
2003-07,0.626,
2003-10,0.614,
2004-01,0.598,
2004-04,0.599,
2004-07,0.582,
2004-10,0.557,
2005-01,0.545,
2005-04,0.539,
2005-07,0.537,
2005-10,0.523,
2006-01,0.523,
2006-04,0.517,
2006-07,0.525,
2006-10,0.521,
2007-01,0.514,
2007-04,0.506,
2007-07,0.507,
2007-10,0.490,
2008-01,0.479,
2008-04,0.466,
2008-07,0.457,
2008-10,0.443,
2009-01,0.450,
2009-04,0.444,
2009-07,0.440,
2009-10,0.426,
2010-01,0.422,
2010-04,0.428,
2010-07,0.451,
2010-10,0.452,
2011-01,0.455,
2011-04,0.458,
2011-07,0.464,
2011-10,0.457,
2012-01,0.469,
2012-04,0.482,
2012-07,0.486,
2012-10,0.488,
2013-01,0.502,
2013-04,0.502,
2013-07,0.507,
2013-10,0.493,
2014-01,0.489,
2014-04,0.487,
2014-07,0.481,
