"",BBK01.OEGJ04I,BBK01.OEGJ04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:12,
2002-01,0.244,
2002-04,0.249,
2002-07,0.269,
2002-10,0.279,
2003-01,0.287,
2003-04,0.233,
2003-07,0.391,
2003-10,0.420,
2004-01,0.389,
2004-04,0.273,
2004-07,0.232,
2004-10,0.239,
2005-01,0.219,
2005-04,0.241,
2005-07,0.835,
2005-10,0.510,
2006-01,0.433,
2006-04,0.463,
2006-07,0.660,
2006-10,0.608,
2007-01,0.782,
2007-04,0.719,
2007-07,1.132,
2007-10,1.904,
2008-01,3.390,
2008-04,5.789,
2008-07,6.853,
2008-10,4.988,
2009-01,8.131,
2009-04,8.578,
2009-07,7.053,
2009-10,7.542,
2010-01,9.509,
2010-04,4.311,
2010-07,10.120,
2010-10,9.723,
2011-01,10.079,
2011-04,11.166,
2011-07,11.070,
2011-10,8.259,
2012-01,9.993,
2012-04,6.614,
2012-07,9.440,
2012-10,6.379,
2013-01,8.251,
2013-04,5.125,
2013-07,0.812,
2013-10,0.763,
2014-01,0.439,
2014-04,0.679,
2014-07,1.004,
