"",BBK01.OELI02T,BBK01.OELI02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:36,
2002-01,1.350,
2002-04,1.368,
2002-07,1.496,
2002-10,1.560,
2003-01,1.452,
2003-04,1.512,
2003-07,1.489,
2003-10,1.585,
2004-01,1.530,
2004-04,1.467,
2004-07,1.572,
2004-10,1.658,
2005-01,1.596,
2005-04,1.598,
2005-07,1.637,
2005-10,1.756,
2006-01,1.625,
2006-04,1.615,
2006-07,1.661,
2006-10,1.779,
2007-01,1.683,
2007-04,1.688,
2007-07,1.745,
2007-10,1.910,
2008-01,1.761,
2008-04,1.751,
2008-07,1.803,
2008-10,1.971,
2009-01,2.039,
2009-04,2.031,
2009-07,2.162,
2009-10,2.367,
2010-01,2.318,
2010-04,2.325,
2010-07,2.449,
2010-10,2.605,
2011-01,2.463,
2011-04,2.441,
2011-07,2.495,
2011-10,2.663,
2012-01,2.564,
2012-04,2.633,
2012-07,2.768,
2012-10,2.996,
2013-01,2.961,
2013-04,2.980,
2013-07,3.165,
2013-10,3.393,
2014-01,3.328,
2014-04,3.226,
2014-07,3.364,
