"",BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:18,
1991-01,62.953,
1991-04,70.092,
1991-07,45.295,
1991-10,39.337,
1992-01,103.016,
1992-04,51.153,
1992-07,-2.293,
1992-10,32.653,
1993-01,87.350,
1993-04,84.707,
1993-07,62.067,
1993-10,292.987,
1994-01,85.276,
1994-04,19.555,
1994-07,33.305,
1994-10,20.625,
1995-01,-49.519,
1995-04,204.320,
1995-07,27.486,
1995-10,17.597,
1996-01,118.622,
1996-04,-212.921,
1996-07,-2.802,
1996-10,652.797,
1997-01,-109.029,
1997-04,246.229,
1997-07,193.611,
1997-10,-128.661,
1998-01,-1.838,
1998-04,55.880,
1998-07,-47.139,
1998-10,1.768,
1999-01,2.383,
1999-04,22.502,
1999-07,133.819,
1999-10,35.500,
2000-01,124.174,
2000-04,108.332,
2000-07,93.396,
2000-10,23.016,
2001-01,372.655,
2001-04,104.158,
2001-07,246.050,
2001-10,431.320,
2002-01,-416.601,
2002-04,-284.583,
2002-07,-1.494,
2002-10,133.880,
2003-01,19.510,
2003-04,-121.482,
2003-07,246.472,
2003-10,178.123,
2004-01,359.384,
2004-04,286.550,
2004-07,524.703,
2004-10,-89.212,
2005-01,-266.318,
2005-04,652.681,
2005-07,-179.203,
2005-10,21.970,
2006-01,-65.512,
2006-04,-322.338,
2006-07,-192.141,
2006-10,1.373,
2007-01,856.252,
2007-04,692.718,
2007-07,-129.617,
2007-10,1182.913,
2008-01,713.071,
2008-04,880.927,
2008-07,595.504,
2008-10,513.833,
2009-01,80.008,
2009-04,-36.361,
2009-07,-81.734,
2009-10,-116.399,
2010-01,228.316,
2010-04,-115.227,
2010-07,166.956,
2010-10,231.480,
2011-01,682.881,
2011-04,627.435,
2011-07,532.996,
2011-10,199.433,
2012-01,55.701,
2012-04,-707.081,
2012-07,20.831,
2012-10,-66.876,
2013-01,406.656,
2013-04,150.208,
2013-07,-45.547,
2013-10,19.045,
2014-01,-337.133,Provisional value
2014-04,-269.926,Provisional value
2014-07,-615.380,Provisional value
2014-10,41.149,Provisional value
