"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:44,
1991-01,6954.956,
1991-02,10637.886,
1991-03,11380.051,
1991-04,10657.629,
1991-05,12534.744,
1991-06,10083.348,
1991-07,10467.633,
1991-08,10877.604,
1991-09,10063.830,
1991-10,13323.601,
1991-11,12273.637,
1991-12,11643.211,
1992-01,18184.734,
1992-02,23129.051,
1992-03,19115.437,
1992-04,15030.449,
1992-05,12419.088,
1992-06,18814.947,
1992-07,15325.939,
1992-08,10777.621,
1992-09,13725.541,
1992-10,19778.934,
1992-11,17622.533,
1992-12,15531.250,
1993-01,16530.725,
1993-02,27651.631,
1993-03,32428.323,
1993-04,24402.869,
1993-05,19847.001,
1993-06,19735.102,
1993-07,25002.676,
1993-08,24862.755,
1993-09,23078.516,
1993-10,27679.233,
1993-11,25992.291,
1993-12,20512.175,
1994-01,29314.810,
1994-02,28454.964,
1994-03,26152.316,
1994-04,18468.413,
1994-05,15876.942,
1994-06,18007.838,
1994-07,17294.264,
1994-08,14497.112,
1994-09,16255.636,
1994-10,17599.801,
1994-11,16796.103,
1994-12,18279.101,
1995-01,19850.775,
1995-02,20437.045,
1995-03,22622.983,
1995-04,19989.551,
1995-05,23808.322,
1995-06,24656.581,
1995-07,23823.740,
1995-08,26503.247,
1995-09,28610.583,
1995-10,22441.553,
1995-11,33253.989,
1995-12,26649.101,
1996-01,35561.969,
1996-02,39970.258,
1996-03,31413.200,
1996-04,32094.094,
1996-05,34155.636,
1996-06,23793.554,
1996-07,37818.834,
1996-08,26458.374,
1996-09,29347.309,
1996-10,41446.194,
1996-11,30224.941,
1996-12,31060.608,
1997-01,42472.996,
1997-02,41286.679,
1997-03,38609.771,
1997-04,38809.904,
1997-05,37380.279,
1997-06,47168.243,
1997-07,60083.270,
1997-08,47680.605,
1997-09,45756.026,
1997-10,56815.551,
1997-11,42546.213,
1997-12,42373.057,
1998-01,51165.106,
1998-02,69231.882,
1998-03,65272.128,
1998-04,60176.135,
1998-05,60539.357,
1998-06,67965.974,
1998-07,66688.473,
1998-08,70902.610,
1998-09,69038.227,
1998-10,74991.414,
1998-11,70989.702,
1998-12,61378.765,
1999-01,78405.870,
1999-02,79891.892,
1999-03,95631.518,
1999-04,85702.838,
1999-05,105919.391,
1999-06,94046.668,
1999-07,91935.159,
1999-08,72824.818,
1999-09,87342.883,
1999-10,78280.486,
1999-11,90160.310,
1999-12,66596.832,
2000-01,95066.865,
2000-02,100213.314,
2000-03,111963.738,
2000-04,80087.556,
2000-05,112583.729,
2000-06,105421.459,
2000-07,92667.021,
2000-08,93630.952,
2000-09,119692.033,
2000-10,114031.825,
2000-11,129130.374,
2000-12,114425.671,
2001-01,180760.813,
2001-02,161619.127,
2001-03,170148.875,
2001-04,136524.369,
2001-05,162315.322,
2001-06,148876.977,
2001-07,137317.249,
2001-08,125470.303,
2001-09,128084.368,
2001-10,166502.217,
2001-11,182775.130,
2001-12,118504.885,
2002-01,165040.780,
2002-02,134191.311,
2002-03,151801.949,
2002-04,132477.690,
2002-05,133429.520,
2002-06,117288.953,
2002-07,156188.615,
2002-08,134597.826,
2002-09,153404.196,
2002-10,177246.051,
2002-11,146025.236,
2002-12,117895.133,
2003-01,164562.104,
2003-02,140805.178,
2003-03,176838.398,
2003-04,148125.531,
2003-05,167573.743,
2003-06,162666.290,
2003-07,189218.041,
2003-08,141049.821,
2003-09,162562.018,
2003-10,162110.706,
2003-11,118681.991,
2003-12,111317.955,
2004-01,162179.127,
2004-02,151379.732,
2004-03,193505.666,
2004-04,166938.822,
2004-05,147383.282,
2004-06,142947.352,
2004-07,146322.726,
2004-08,137218.710,
2004-09,163512.358,
2004-10,167447.189,
2004-11,166063.723,
2004-12,154767.908,
2005-01,180870.325,
2005-02,181687.124,
2005-03,180402.089,
2005-04,161634.786,
2005-05,158322.809,
2005-06,205326.404,
2005-07,129775.283,
2005-08,120735.870,
2005-09,154187.654,
2005-10,160741.205,
2005-11,164054.814,
2005-12,148909.725,
2006-01,164903.332,
2006-02,151771.328,
2006-03,173569.750,
2006-04,130814.866,
2006-05,154420.911,
2006-06,147231.226,
2006-07,127096.075,
2006-08,112334.356,
2006-09,148710.225,
2006-10,157013.268,
2006-11,161940.085,
2006-12,122106.225,
2007-01,165806.733,
2007-02,148150.672,
2007-03,170468.652,
2007-04,130735.952,
2007-05,146124.632,
2007-06,162863.488,
2007-07,138339.221,
2007-08,124503.558,
2007-09,111070.136,
2007-10,133273.118,
2007-11,120254.885,
2007-12,97553.014,
2008-01,152569.489,
2008-02,143150.996,
2008-03,125993.548,
2008-04,116082.458,
2008-05,124184.733,
2008-06,122288.899,
2008-07,102919.321,
2008-08,74721.852,
2008-09,106763.103,
2008-10,92005.331,
2008-11,80705.399,
2008-12,77417.855,
2009-01,93403.737,
2009-02,104196.180,
2009-03,114066.866,
2009-04,107799.380,
2009-05,125181.054,
2009-06,107672.804,
2009-07,137812.883,
2009-08,89631.010,
2009-09,123789.639,
2009-10,125272.660,
2009-11,114425.975,
2009-12,98800.527,
2010-01,139109.856,
2010-02,139481.151,
2010-03,160336.126,
2010-04,136293.700,
2010-05,127151.652,
2010-06,125268.904,
2010-07,107422.946,
2010-08,99707.888,
2010-09,148602.142,
2010-10,233601.831,
2010-11,114654.893,
2010-12,74507.654,
2011-01,130072.769,
2011-02,139249.748,
2011-03,154395.540,
2011-04,114860.079,
2011-05,116266.830,
2011-06,132006.693,
2011-07,107044.415,
2011-08,107906.965,
2011-09,125842.191,
2011-10,97320.464,
2011-11,109735.659,
2011-12,86946.849,
2012-01,137271.899,
2012-02,146354.187,
2012-03,202291.107,
2012-04,168843.969,
2012-05,142079.745,
2012-06,131915.733,
2012-07,210544.452,
2012-08,113705.934,
2012-09,139384.560,
2012-10,145159.901,
2012-11,126750.781,
2012-12,167231.198,
2013-01,180211.492,
2013-02,154147.827,
2013-03,156972.375,
2013-04,168337.210,
2013-05,175573.609,
