"",BBEX3.M.RON.USD.CA.AC.A01,BBEX3.M.RON.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Romania / USD 1 = RON ... (middle),
unit,RON (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:24,
2005-07,2.9164,
2005-08,2.8750,
2005-09,2.9585,
2005-10,3.0259,
2005-11,3.1024,
2005-12,3.1078,
2006-01,2.9874,
2006-02,2.9281,
2006-03,2.9079,
2006-04,2.7674,
2006-05,2.7511,
2006-06,2.8068,
2006-07,2.7799,
2006-08,2.7469,
2006-09,2.7889,
2006-10,2.7739,
2006-11,2.6041,
2006-12,2.5676,
2007-01,2.6345,
2007-02,2.5748,
2007-03,2.5191,
2007-04,2.4452,
2007-05,2.4347,
2007-06,2.3246,
2007-07,2.3043,
2007-08,2.3934,
2007-09,2.3669,
2007-10,2.3094,
2007-11,2.3681,
2007-12,2.4564,
2008-01,2.4904,
2008-02,2.4496,
2008-03,2.3563,
2008-04,2.3635,
2008-05,2.3376,
2008-06,2.3066,
2008-07,2.2644,
2008-08,2.3972,
2008-09,2.5957,
2008-10,2.8758,
2008-11,2.9387,
2008-12,2.8342,
2009-01,3.3212,
2009-02,3.3851,
2009-03,3.1857,
2009-04,3.1447,
2009-05,2.9680,
2009-06,2.9792,
2009-07,2.9871,
2009-08,2.9554,
2009-09,2.8619,
2009-10,2.8927,
2009-11,2.8396,
2009-12,2.9361,
2010-01,2.9509,
2010-02,3.0151,
2010-03,3.0422,
2010-04,3.0973,
2010-05,3.3984,
2010-06,3.5617,
2010-07,3.2679,
2010-08,3.3582,
2010-09,3.1254,
2010-10,3.0904,
2010-11,3.2861,
2010-12,3.2045,
2011-01,3.1182,
2011-02,3.0489,
2011-03,2.8931,
2011-04,2.7408,
2011-05,2.8571,
2011-06,2.9259,
2011-07,2.9682,
2011-08,2.9244,
2011-09,3.2195,
2011-10,3.0889,
2011-11,3.2764,
2011-12,3.3393,
2012-01,3.2919,
2012-02,3.2357,
2012-03,3.2805,
2012-04,3.3240,
2012-05,3.5939,
2012-06,3.5360,
2012-07,3.7242,
2012-08,3.5484,
2012-09,3.5029,
2012-10,3.4873,
2012-11,3.4687,
2012-12,3.3575,
2013-01,3.2332,
2013-02,3.3345,
2013-03,3.4455,
2013-04,3.3075,
2013-05,3.3737,
2013-06,3.4151,
2013-07,3.3169,
2013-08,3.3510,
2013-09,3.3051,
2013-10,3.2441,
2013-11,3.2644,
2013-12,3.2551,
2014-01,3.3221,
2014-02,3.2618,
2014-03,3.2304,
2014-04,3.2194,
2014-05,3.2307,
2014-06,3.2138,
2014-07,3.3016,
2014-08,3.3490,
2014-09,3.5019,
2014-10,3.5098,
2014-11,3.5533,
2014-12,3.6868,
2015-01,3.9157,
"","General: Currency conversion with effect from 1 July 2005: ROL (lei / singular: leu) 10,000 = RON 1 ((new) leu).",
"","Source: Banca Nationala a Romaniei, Bucharest",
