"",BBEX3.M.UGX.EUR.CA.AB.A01,BBEX3.M.UGX.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Uganda / EUR 1 = UGX ... (selling),
unit,UGX (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:47,
1999-01,1579.57,
1999-02,1529.14,
1999-03,1502.69,
1999-04,1624.96,
1999-05,1537.53,
1999-06,1513.86,
1999-07,1571.43,
1999-08,1555.39,
1999-09,1616.00,
1999-10,1594.92,
1999-11,1520.20,
1999-12,1517.11,
2000-01,1524.11,
2000-02,1469.04,
2000-03,1463.36,
2000-04,1404.90,
2000-05,1432.39,
2000-06,1514.38,
2000-07,1508.03,
2000-08,1550.47,
2000-09,1602.32,
2000-10,1558.31,
2000-11,1603.05,
2000-12,1655.56,
2001-01,1682.06,
2001-02,1626.55,
2001-03,1596.31,
2001-04,1608.71,
2001-05,1519.73,
2001-06,1467.85,
2001-07,1524.45,
2001-08,1596.84,
2001-09,1606.49,
2001-10,1576.03,
2001-11,1536.08,
2001-12,1536.67,
2002-01,1499.00,
2002-02,1523.63,
2002-03,1555.27,
2002-04,1624.64,
2002-05,1681.13,
2002-06,1768.73,
2002-07,1785.84,
2002-08,1779.31,
2002-09,1775.99,
2002-10,1805.79,
2002-11,1835.96,
2002-12,1940.13,
2003-01,2017.39,
2003-02,2061.01,
2003-03,2131.73,
2003-04,2196.54,
2003-05,2358.64,
2003-06,2293.78,
2003-07,2276.43,
2003-08,2186.69,
2003-09,2294.90,
2003-10,2325.08,
2003-11,2338.61,
2003-12,2433.03,
2004-01,2371.24,
2004-02,2381.32,
2004-03,2355.45,
2004-04,2288.78,
2004-05,2243.67,
2004-06,2174.32,
2004-07,2130.70,
2004-08,2076.11,
2004-09,2166.86,
2004-10,2206.65,
2004-11,2329.77,
2004-12,2378.83,
2005-01,2238.37,
2005-02,2252.39,
2005-03,2267.63,
2005-04,2303.63,
2005-05,2216.57,
2005-06,2108.30,
2005-07,2148.72,
2005-08,2227.84,
2005-09,2244.32,
2005-10,2223.07,
2005-11,2156.56,
2005-12,2160.27,
2006-01,2208.06,
2006-02,2169.81,
2006-03,2217.77,
2006-04,2271.39,
2006-05,2387.01,
2006-06,2338.14,
2006-07,2377.94,
2006-08,2381.38,
2006-09,2366.42,
2006-10,2325.62,
2006-11,2387.98,
2006-12,2294.05,
2007-01,2311.19,
2007-02,2314.95,
2007-03,2328.72,
2007-04,2367.90,
2007-05,2284.64,
2007-06,2171.54,
2007-07,2279.26,
2007-08,2465.54,
2007-09,2485.28,
2007-10,2511.84,
2007-11,2562.81,
2007-12,2504.80,
2008-01,2563.66,
2008-02,2576.82,
2008-03,2672.90,
2008-04,2630.76,
2008-05,2537.27,
2008-06,2567.19,
2008-07,2560.72,
2008-08,2431.62,
2008-09,2445.30,
2008-10,2544.43,
2008-11,2576.04,
2008-12,2773.50,
2009-01,2608.95,
2009-02,2528.36,
2009-03,2861.80,
2009-04,2965.28,
2009-05,3133.27,
2009-06,2933.40,
2009-07,2970.30,
2009-08,2977.52,
2009-09,2828.38,
2009-10,2796.54,
2009-11,2813.46,
2009-12,2729.64,
2010-01,2725.48,
2010-02,2755.66,
2010-03,2805.28,
2010-04,2777.94,
2010-05,2756.56,
2010-06,2782.81,
2010-07,2933.15,
2010-08,2888.10,
2010-09,3059.86,
2010-10,3151.06,
2010-11,3092.15,
2010-12,3088.47,
2011-01,3130.10,
2011-02,3240.58,
2011-03,3394.43,
2011-04,3536.46,
2011-05,3418.22,
2011-06,3867.47,
2011-07,3734.41,
2011-08,4058.41,
2011-09,3901.58,
2011-10,3706.87,
2011-11,3427.18,
2011-12,3226.52,
2012-01,3073.98,
2012-02,3182.09,
2012-03,3352.46,
2012-04,3330.33,
2012-05,3114.97,
2012-06,3079.42,
2012-07,3039.90,
2012-08,3129.74,
2012-09,3267.59,
2012-10,3366.34,
2012-11,3495.66,
2012-12,3557.92,
2013-01,3622.99,
2013-02,3475.66,
2013-03,3322.95,
2013-04,3409.39,
2013-05,3393.58,
2013-06,3378.23,
2013-07,3428.18,
2013-08,3430.86,
2013-09,3473.57,
2013-10,3482.76,
2013-11,3439.92,
2013-12,3498.48,
2014-01,3363.75,
2014-02,3479.26,
2014-03,3512.92,
2014-04,3497.48,
2014-05,3488.70,
2014-06,3552.67,
2014-07,3518.56,
2014-08,3454.47,
2014-09,3369.92,
2014-10,3423.17,
2014-11,3475.87,
2014-12,3379.80,
2015-01,3255.76,
"","Source: Bank of Uganda, Kampala",
