"",BBK01.OEAE02U,BBK01.OEAE02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:17,
2002-01,2.854,
2002-04,2.865,
2002-07,2.848,
2002-10,2.887,
2003-01,2.875,
2003-04,2.882,
2003-07,2.919,
2003-10,2.909,
2004-01,2.931,
2004-04,2.564,
2004-07,2.590,
2004-10,2.584,
2005-01,2.584,
2005-04,2.535,
2005-07,2.544,
2005-10,2.529,
2006-01,2.524,
2006-04,2.520,
2006-07,2.580,
2006-10,2.609,
2007-01,2.618,
2007-04,2.603,
2007-07,2.599,
2007-10,2.593,
2008-01,2.636,
2008-04,2.651,
2008-07,2.587,
2008-10,2.592,
2009-01,3.113,
2009-04,3.127,
2009-07,3.072,
2009-10,3.105,
2010-01,3.083,
2010-04,3.096,
2010-07,3.101,
2010-10,3.093,
2011-01,3.064,
2011-04,3.086,
2011-07,3.078,
2011-10,3.082,
2012-01,3.083,
2012-04,3.084,
2012-07,3.094,
2012-10,3.111,
2013-01,3.110,
2013-04,3.142,
2013-07,3.116,
2013-10,3.166,
2014-01,3.159,
2014-04,3.173,
2014-07,2.963,
