"",BBK01.CEBH30,BBK01.CEBH30_FLAGS
"",Shares debtor: Monetary financial institutions                     creditor:  All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:05,
1991-01,35.9,
1991-04,37.4,
1991-07,36.6,
1991-10,39.8,
1992-01,44.7,
1992-04,45.3,
1992-07,43.9,
1992-10,44.8,
1993-01,48.3,
1993-04,48.4,
1993-07,54.2,
1993-10,63.9,
1994-01,61.6,
1994-04,58.7,
1994-07,58.2,
1994-10,62.6,
1995-01,97.9,
1995-04,104.4,
1995-07,104.2,
1995-10,111.2,
1996-01,108.5,
1996-04,111.2,
1996-07,116.5,
1996-10,129.1,
1997-01,149.6,
1997-04,157.8,
1997-07,196.3,
1997-10,221.3,
1998-01,205.7,
1998-04,241.2,
1998-07,164.5,
1998-10,218.3,
1999-01,229.2,
1999-04,218.1,
1999-07,205.7,
1999-10,237.3,
2000-01,277.0,
2000-04,240.5,
2000-07,246.9,
2000-10,229.8,
2001-01,229.3,
2001-04,226.5,
2001-07,188.7,
2001-10,210.7,
2002-01,220.6,
2002-04,206.4,
2002-07,115.5,
2002-10,111.6,
2003-01,113.6,
2003-04,149.4,
2003-07,151.7,
2003-10,172.2,
2004-01,172.0,
2004-04,177.2,
2004-07,170.8,
2004-10,181.5,
2005-01,191.9,
2005-04,193.8,
2005-07,222.4,
2005-10,236.6,
2006-01,270.6,
2006-04,256.5,
2006-07,274.6,
2006-10,280.5,
2007-01,309.3,
2007-04,314.5,
2007-07,281.3,
2007-10,303.6,
2008-01,253.0,
2008-04,222.1,
2008-07,176.6,
2008-10,85.0,
2009-01,84.3,
2009-04,103.0,
2009-07,126.6,
2009-10,117.3,
2010-01,132.8,
2010-04,114.7,
2010-07,108.0,
2010-10,118.9,
2011-01,121.2,
2011-04,126.1,
2011-07,91.7,
2011-10,92.0,
2012-01,112.6,
2012-04,92.2,
2012-07,96.5,
2012-10,101.5,
2013-01,96.2,
2013-04,100.5,
2013-07,106.7,
2013-10,117.3,
2014-01,116.8,
