"",BBK01.OEAL01P,BBK01.OEAL01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:56,
2002-01,12.944,
2002-04,12.820,
2002-07,12.545,
2002-10,12.823,
2003-01,13.129,
2003-04,13.134,
2003-07,13.072,
2003-10,13.288,
2004-01,13.400,
2004-04,13.397,
2004-07,13.315,
2004-10,13.550,
2005-01,14.093,
2005-04,14.085,
2005-07,14.060,
2005-10,14.272,
2006-01,14.300,
2006-04,14.173,
2006-07,14.040,
2006-10,14.121,
2007-01,14.130,
2007-04,14.165,
2007-07,14.229,
2007-10,14.426,
2008-01,14.432,
2008-04,14.457,
2008-07,14.426,
2008-10,15.051,
2009-01,15.173,
2009-04,15.288,
2009-07,15.372,
2009-10,15.696,
2010-01,15.894,
2010-04,16.043,
2010-07,16.064,
2010-10,16.370,
2011-01,16.369,
2011-04,16.396,
2011-07,16.411,
2011-10,16.812,
2012-01,16.869,
2012-04,16.890,
2012-07,16.882,
2012-10,17.062,
2013-01,16.877,
2013-04,16.889,
2013-07,16.727,
2013-10,16.987,
2014-01,16.959,
2014-04,16.972,
2014-07,16.968,
