"",BBK01.OEXB13K,BBK01.OEXB13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:31,
2002-01,2.257,
2002-04,2.240,
2002-07,2.194,
2002-10,2.403,
2003-01,2.252,
2003-04,2.181,
2003-07,2.077,
2003-10,2.483,
2004-01,1.988,
2004-04,2.018,
2004-07,2.058,
2004-10,0.889,
2005-01,0.891,
2005-04,0.898,
2005-07,0.917,
2005-10,0.932,
2006-01,0.983,
2006-04,1.003,
2006-07,1.004,
2006-10,1.024,
2007-01,0.972,
2007-04,0.973,
2007-07,0.966,
2007-10,1.005,
2008-01,0.981,
2008-04,1.015,
2008-07,1.041,
2008-10,1.070,
2009-01,1.133,
2009-04,1.143,
2009-07,1.158,
2009-10,1.212,
2010-01,1.212,
2010-04,1.511,
2010-07,1.513,
2010-10,1.945,
2011-01,1.943,
2011-04,1.923,
2011-07,1.957,
2011-10,2.006,
2012-01,2.029,
2012-04,2.104,
2012-07,2.060,
2012-10,2.143,
2013-01,2.209,
2013-04,2.204,
2013-07,2.303,
2013-10,2.315,
2014-01,2.348,
2014-04,2.397,
2014-07,2.476,
