"",BBK01.OEXB02M,BBK01.OEXB02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:45,
2002-01,6.457,
2002-04,6.365,
2002-07,5.865,
2002-10,5.804,
2003-01,5.816,
2003-04,5.889,
2003-07,5.483,
2003-10,5.249,
2004-01,5.578,
2004-04,5.814,
2004-07,5.579,
2004-10,5.421,
2005-01,5.551,
2005-04,5.424,
2005-07,5.220,
2005-10,5.485,
2006-01,5.885,
2006-04,5.654,
2006-07,5.433,
2006-10,5.264,
2007-01,5.450,
2007-04,5.945,
2007-07,5.534,
2007-10,6.259,
2008-01,7.182,
2008-04,7.182,
2008-07,7.031,
2008-10,9.016,
2009-01,8.712,
2009-04,8.212,
2009-07,6.474,
2009-10,6.625,
2010-01,6.546,
2010-04,5.825,
2010-07,5.943,
2010-10,6.110,
2011-01,6.159,
2011-04,6.355,
2011-07,6.305,
2011-10,5.878,
2012-01,6.169,
2012-04,6.015,
2012-07,5.992,
2012-10,5.047,
2013-01,5.777,
2013-04,5.847,
2013-07,5.904,
2013-10,4.901,
2014-01,5.393,
2014-04,5.404,
2014-07,6.110,
