"",BBK01.OECL02Q,BBK01.OECL02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:29,
2002-01,0.436,
2002-04,0.543,
2002-07,0.518,
2002-10,0.575,
2003-01,0.528,
2003-04,0.559,
2003-07,0.548,
2003-10,0.569,
2004-01,0.553,
2004-04,0.573,
2004-07,0.543,
2004-10,0.894,
2005-01,1.507,
2005-04,1.520,
2005-07,1.486,
2005-10,1.522,
2006-01,1.547,
2006-04,1.544,
2006-07,1.503,
2006-10,1.580,
2007-01,1.568,
2007-04,1.685,
2007-07,1.683,
2007-10,1.747,
2008-01,1.694,
2008-04,1.734,
2008-07,1.742,
2008-10,2.010,
2009-01,2.196,
2009-04,2.225,
2009-07,2.267,
2009-10,2.339,
2010-01,2.414,
2010-04,2.494,
2010-07,2.535,
2010-10,2.596,
2011-01,2.516,
2011-04,2.531,
2011-07,2.564,
2011-10,2.551,
2012-01,2.548,
2012-04,2.656,
2012-07,2.739,
2012-10,2.818,
2013-01,2.897,
2013-04,2.969,
2013-07,2.957,
2013-10,3.027,
2014-01,3.045,
2014-04,3.148,
2014-07,3.189,
