"",BBK01.OEXJ03M,BBK01.OEXJ03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:37,
2002-01,1.638,
2002-04,1.647,
2002-07,1.814,
2002-10,1.774,
2003-01,2.535,
2003-04,2.545,
2003-07,2.491,
2003-10,2.412,
2004-01,2.477,
2004-04,2.470,
2004-07,2.861,
2004-10,2.991,
2005-01,2.825,
2005-04,3.021,
2005-07,3.088,
2005-10,2.536,
2006-01,2.615,
2006-04,2.657,
2006-07,2.473,
2006-10,2.216,
2007-01,2.214,
2007-04,2.174,
2007-07,2.370,
2007-10,2.233,
2008-01,2.456,
2008-04,2.928,
2008-07,2.709,
2008-10,5.548,
2009-01,5.317,
2009-04,5.143,
2009-07,4.807,
2009-10,4.666,
2010-01,4.289,
2010-04,4.288,
2010-07,3.771,
2010-10,5.435,
2011-01,5.153,
2011-04,4.795,
2011-07,5.604,
2011-10,6.565,
2012-01,6.184,
2012-04,8.032,
2012-07,8.018,
2012-10,9.035,
2013-01,8.180,
2013-04,9.495,
2013-07,8.481,
2013-10,8.028,
2014-01,7.720,
2014-04,10.799,
2014-07,9.252,
