"",BBK01.OEAC37M,BBK01.OEAC37M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:38,
2002-01,0.998,
2002-04,0.906,
2002-07,0.857,
2002-10,0.897,
2003-01,1.088,
2003-04,1.157,
2003-07,1.337,
2003-10,1.263,
2004-01,1.283,
2004-04,1.164,
2004-07,1.171,
2004-10,1.105,
2005-01,1.161,
2005-04,1.317,
2005-07,1.217,
2005-10,1.041,
2006-01,0.974,
2006-04,1.091,
2006-07,1.198,
2006-10,1.694,
2007-01,1.744,
2007-04,1.579,
2007-07,1.641,
2007-10,1.880,
2008-01,2.018,
2008-04,1.948,
2008-07,1.913,
2008-10,2.116,
2009-01,2.126,
2009-04,2.041,
2009-07,2.103,
2009-10,2.096,
2010-01,2.231,
2010-04,1.728,
2010-07,1.660,
2010-10,1.658,
2011-01,1.501,
2011-04,1.421,
2011-07,1.461,
2011-10,1.452,
2012-01,1.407,
2012-04,1.472,
2012-07,1.407,
2012-10,1.372,
2013-01,1.317,
2013-04,1.399,
2013-07,1.209,
2013-10,1.247,
2014-01,1.236,
2014-04,1.200,
2014-07,1.291,
