"",BBDE1.M.DE.Y.BAA1.A2P340000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P340000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Non-durable goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:37,
1991-01,101.4,
1991-02,98.8,
1991-03,98.4,
1991-04,97.4,
1991-05,95.7,
1991-06,96.5,
1991-07,96.9,
1991-08,95.4,
1991-09,95.1,
1991-10,97.1,
1991-11,96.8,
1991-12,96.2,
1992-01,97.6,
1992-02,97.4,
1992-03,95.2,
1992-04,96.4,
1992-05,94.6,
1992-06,94.2,
1992-07,93.7,
1992-08,94.8,
1992-09,95.5,
1992-10,95.0,
1992-11,92.7,
1992-12,93.8,
1993-01,91.5,
1993-02,90.5,
1993-03,91.5,
1993-04,90.5,
1993-05,89.7,
1993-06,91.0,
1993-07,89.7,
1993-08,90.8,
1993-09,92.5,
1993-10,91.7,
1993-11,92.2,
1993-12,92.5,
1994-01,90.8,
1994-02,90.7,
1994-03,91.3,
1994-04,89.2,
1994-05,89.7,
1994-06,90.3,
1994-07,90.3,
1994-08,90.7,
1994-09,89.7,
1994-10,91.3,
1994-11,93.3,
1994-12,90.3,
1995-01,92.2,
1995-02,93.6,
1995-03,92.4,
1995-04,92.4,
1995-05,93.4,
1995-06,91.4,
1995-07,92.2,
1995-08,92.2,
1995-09,91.9,
1995-10,90.9,
1995-11,90.9,
1995-12,89.2,
1996-01,90.2,
1996-02,92.6,
1996-03,91.8,
1996-04,93.0,
1996-05,93.2,
1996-06,91.9,
1996-07,91.6,
1996-08,92.4,
1996-09,92.4,
1996-10,91.3,
1996-11,91.7,
1996-12,92.3,
1997-01,91.8,
1997-02,92.5,
1997-03,92.6,
1997-04,91.6,
1997-05,92.0,
1997-06,92.2,
1997-07,92.6,
1997-08,90.6,
1997-09,91.3,
1997-10,91.9,
1997-11,91.1,
1997-12,94.4,
1998-01,94.1,
1998-02,91.8,
1998-03,92.4,
1998-04,93.4,
1998-05,91.9,
1998-06,92.2,
1998-07,92.4,
1998-08,90.4,
1998-09,91.6,
1998-10,90.2,
1998-11,90.7,
1998-12,92.4,
1999-01,93.0,
1999-02,91.7,
1999-03,93.6,
1999-04,92.2,
1999-05,93.5,
1999-06,92.9,
1999-07,93.6,
1999-08,93.3,
1999-09,93.2,
1999-10,93.5,
1999-11,95.0,
1999-12,94.5,
2000-01,90.1,
2000-02,92.4,
2000-03,93.3,
2000-04,94.3,
2000-05,96.0,
2000-06,95.3,
2000-07,94.3,
2000-08,96.0,
2000-09,95.9,
2000-10,95.3,
2000-11,95.8,
2000-12,93.8,
2001-01,92.5,
2001-02,95.0,
