"",BBK01.OEAC48K,BBK01.OEAC48K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:43,
2002-01,1.066,
2002-04,1.034,
2002-07,1.114,
2002-10,1.101,
2003-01,1.108,
2003-04,1.173,
2003-07,1.161,
2003-10,1.175,
2004-01,1.299,
2004-04,1.659,
2004-07,1.719,
2004-10,1.760,
2005-01,1.791,
2005-04,1.857,
2005-07,1.850,
2005-10,1.969,
2006-01,2.126,
2006-04,2.150,
2006-07,2.130,
2006-10,2.154,
2007-01,1.472,
2007-04,1.453,
2007-07,1.379,
2007-10,1.392,
2008-01,2.612,
2008-04,2.743,
2008-07,2.795,
2008-10,3.219,
2009-01,3.332,
2009-04,3.481,
2009-07,3.535,
2009-10,3.423,
2010-01,3.524,
2010-04,3.620,
2010-07,3.940,
2010-10,4.002,
2011-01,3.893,
2011-04,3.914,
2011-07,4.170,
2011-10,4.449,
2012-01,4.510,
2012-04,4.232,
2012-07,4.394,
2012-10,4.317,
2013-01,4.288,
2013-04,4.411,
2013-07,4.414,
2013-10,4.384,
2014-01,4.442,
2014-04,4.650,
2014-07,4.784,
