"",BBK01.TQ7035D,BBK01.TQ7035D_FLAGS
"",Market liquidity - Average bid-ask spread in the securities market - corporate securities                      FSI-I035,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:39,
2005-10,0.01,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.00,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,0.00,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.01,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,0.01,
