"",BBK01.OEBL02H,BBK01.OEBL02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:06,
2002-01,18.729,
2002-04,19.028,
2002-07,18.882,
2002-10,20.051,
2003-01,20.319,
2003-04,20.560,
2003-07,20.446,
2003-10,19.851,
2004-01,20.239,
2004-04,15.921,
2004-07,15.570,
2004-10,15.718,
2005-01,18.476,
2005-04,19.318,
2005-07,19.884,
2005-10,20.578,
2006-01,21.200,
2006-04,22.202,
2006-07,21.107,
2006-10,21.574,
2007-01,22.696,
2007-04,24.505,
2007-07,24.633,
2007-10,24.450,
2008-01,24.759,
2008-04,24.269,
2008-07,24.103,
2008-10,25.872,
2009-01,28.224,
2009-04,28.756,
2009-07,29.175,
2009-10,29.841,
2010-01,30.872,
2010-04,31.795,
2010-07,31.382,
2010-10,31.401,
2011-01,31.585,
2011-04,32.246,
2011-07,32.784,
2011-10,32.497,
2012-01,32.879,
2012-04,34.306,
2012-07,35.491,
2012-10,36.253,
2013-01,37.756,
2013-04,39.725,
2013-07,39.575,
2013-10,40.888,
2014-01,41.266,
2014-04,42.663,
2014-07,43.390,
