"",BBK01.OELJ08V,BBK01.OELJ08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:09,
2002-01,0.014,
2002-04,0.015,
2002-07,0.016,
2002-10,0.017,
2003-01,0.018,
2003-04,0.018,
2003-07,0.020,
2003-10,0.020,
2004-01,0.021,
2004-04,0.021,
2004-07,0.024,
2004-10,0.024,
2005-01,0.024,
2005-04,0.027,
2005-07,0.026,
2005-10,0.027,
2006-01,0.027,
2006-04,0.028,
2006-07,0.028,
2006-10,0.028,
2007-01,0.028,
2007-04,0.026,
2007-07,0.027,
2007-10,0.024,
2008-01,0.024,
2008-04,0.023,
2008-07,0.021,
2008-10,0.020,
2009-01,0.022,
2009-04,0.027,
2009-07,0.037,
2009-10,0.052,
2010-01,0.062,
2010-04,0.066,
2010-07,0.073,
2010-10,0.025,
2011-01,0.026,
2011-04,0.043,
2011-07,0.038,
2011-10,0.044,
2012-01,0.042,
2012-04,0.048,
2012-07,0.051,
2012-10,0.059,
2013-01,0.033,
2013-04,0.030,
2013-07,0.030,
2013-10,0.036,
2014-01,0.128,
2014-04,0.055,
2014-07,0.096,
