"",BBK01.OEAD10G,BBK01.OEAD10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:29,
2002-01,2.873,
2002-04,2.784,
2002-07,2.722,
2002-10,2.755,
2003-01,2.665,
2003-04,2.591,
2003-07,2.580,
2003-10,2.591,
2004-01,2.550,
2004-04,2.515,
2004-07,2.512,
2004-10,2.425,
2005-01,2.490,
2005-04,2.402,
2005-07,2.325,
2005-10,2.284,
2006-01,2.256,
2006-04,2.227,
2006-07,2.215,
2006-10,2.304,
2007-01,2.202,
2007-04,2.183,
2007-07,2.264,
2007-10,2.355,
2008-01,2.399,
2008-04,2.439,
2008-07,2.353,
2008-10,2.611,
2009-01,2.661,
2009-04,2.697,
2009-07,2.625,
2009-10,2.541,
2010-01,2.497,
2010-04,2.308,
2010-07,2.298,
2010-10,2.316,
2011-01,2.298,
2011-04,2.218,
2011-07,2.199,
2011-10,2.231,
2012-01,2.225,
2012-04,2.195,
2012-07,2.201,
2012-10,2.224,
2013-01,2.287,
2013-04,2.400,
2013-07,2.292,
2013-10,2.286,
2014-01,2.295,
2014-04,2.196,
2014-07,2.208,
