"",BBK01.CEBE03,BBK01.CEBE03_FLAGS
"",short-term loans debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:09,
1991-01,296.7,
1991-04,312.1,
1991-07,312.3,
1991-10,322.5,
1992-01,318.9,
1992-04,331.9,
1992-07,320.8,
1992-10,324.2,
1993-01,315.9,
1993-04,314.4,
1993-07,311.8,
1993-10,316.2,
1994-01,305.8,
1994-04,303.7,
1994-07,302.8,
1994-10,321.4,
1995-01,327.9,
1995-04,340.3,
1995-07,335.0,
1995-10,342.6,
1996-01,344.7,
1996-04,359.5,
1996-07,350.7,
1996-10,372.2,
1997-01,381.9,
1997-04,379.4,
1997-07,382.9,
1997-10,394.1,
1998-01,391.9,
1998-04,400.8,
1998-07,415.9,
1998-10,410.3,
1999-01,434.0,
1999-04,429.9,
1999-07,437.4,
1999-10,457.7,
2000-01,455.1,
2000-04,467.9,
2000-07,456.2,
2000-10,450.6,
2001-01,517.8,
2001-04,488.1,
2001-07,494.7,
2001-10,469.8,
2002-01,498.3,
2002-04,476.0,
2002-07,496.6,
2002-10,477.3,
2003-01,496.5,
2003-04,469.2,
2003-07,478.9,
2003-10,484.7,
2004-01,512.8,
2004-04,448.7,
2004-07,490.4,
2004-10,479.5,
2005-01,492.8,
2005-04,479.4,
2005-07,491.4,
2005-10,486.7,
2006-01,487.2,
2006-04,480.9,
2006-07,525.0,
2006-10,479.4,
2007-01,541.8,
2007-04,546.9,
2007-07,591.4,
2007-10,615.2,
2008-01,687.6,
2008-04,674.0,
2008-07,696.3,
2008-10,653.7,
2009-01,709.7,
2009-04,727.5,
2009-07,696.7,
2009-10,653.9,
2010-01,688.2,
2010-04,767.5,
2010-07,786.8,
2010-10,853.7,
2011-01,839.8,
2011-04,858.4,
2011-07,986.7,
2011-10,960.8,
2012-01,1142.6,
2012-04,1256.0,
2012-07,1239.2,
2012-10,1153.7,
2013-01,1110.3,
2013-04,1093.2,
2013-07,973.1,
2013-10,904.4,
2014-01,874.0,
